model        , prompt_type     , runs_total, records_total_mean, records_total_std, records_total_min, records_total_max, understood_total_mean, understood_total_std, understood_total_min, understood_total_max, not_understood_total_mean, not_understood_total_std, not_understood_total_min, not_understood_total_max, invalid_check_status_total_mean, invalid_check_status_total_std, invalid_check_status_total_min, invalid_check_status_total_max, valid_ratio_mean  , valid_ratio_std      , valid_ratio_min   , valid_ratio_max   , invalid_ratio_mean    , invalid_ratio_std    , invalid_ratio_min , invalid_ratio_max , format_valid_ratio_mean, format_valid_ratio_std, format_valid_ratio_min, format_valid_ratio_max, unknown_over_total_ratio_mean, unknown_over_total_ratio_std, unknown_over_total_ratio_min, unknown_over_total_ratio_max, unknown_over_valid_ratio_mean, unknown_over_valid_ratio_std, unknown_over_valid_ratio_min, unknown_over_valid_ratio_max, accuracy_mean     , accuracy_std         , accuracy_min      , accuracy_max      , accuracy_valid_only_mean, accuracy_valid_only_std, accuracy_valid_only_min, accuracy_valid_only_max, accuracy_aligned_mean, accuracy_aligned_std , accuracy_aligned_min, accuracy_aligned_max, accuracy_nonaligned_mean, accuracy_nonaligned_std, accuracy_nonaligned_min, accuracy_nonaligned_max, accuracy_cost_bias_nonalignment_mean, accuracy_cost_bias_nonalignment_std, accuracy_cost_bias_nonalignment_min, accuracy_cost_bias_nonalignment_max, non_unknown_valid_predictions_total_mean, non_unknown_valid_predictions_total_std, non_unknown_valid_predictions_total_min, non_unknown_valid_predictions_total_max, aligned_total_mean, aligned_total_std, aligned_total_min, aligned_total_max, nonaligned_total_mean, nonaligned_total_std, nonaligned_total_min, nonaligned_total_max, stereotype_direction_prediction_total_mean, stereotype_direction_prediction_total_std, stereotype_direction_prediction_total_min, stereotype_direction_prediction_total_max, anti_stereotype_direction_prediction_total_mean, anti_stereotype_direction_prediction_total_std, anti_stereotype_direction_prediction_total_min, anti_stereotype_direction_prediction_total_max, stereotype_direction_ratio_mean, stereotype_direction_ratio_std, stereotype_direction_ratio_min, stereotype_direction_ratio_max, anti_stereotype_direction_ratio_mean, anti_stereotype_direction_ratio_std, anti_stereotype_direction_ratio_min, anti_stereotype_direction_ratio_max, sdis_mean             , sdis_std             , sdis_min           , sdis_max           , biased_errors_total_mean, biased_errors_total_std, biased_errors_total_min, biased_errors_total_max, biased_error_rate_nonaligned_mean, biased_error_rate_nonaligned_std, biased_error_rate_nonaligned_min, biased_error_rate_nonaligned_max, unbiased_success_nonaligned_total_mean, unbiased_success_nonaligned_total_std, unbiased_success_nonaligned_total_min, unbiased_success_nonaligned_total_max, unbiased_success_rate_nonaligned_mean, unbiased_success_rate_nonaligned_std, unbiased_success_rate_nonaligned_min, unbiased_success_rate_nonaligned_max
llama31_8b   , attribute_early ,         10,              594.0,               0.0,               594,               594,                 594.0,  0.0                ,                  594,                  594,                       0.0,      0.0                ,                        0,                        0,                             0.0,            0.0                ,                              0,                              0, 1.0               , 0.0                  , 1.0               , 1.0               , 0.0                   , 0.0                  , 0.0               , 0.0               ,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.011111111111111061,        0.0019760737218472288,           0.0084175084175084,           0.0151515151515151,          0.011111111111111061,        0.0019760737218472288,           0.0084175084175084,           0.0151515151515151, 0.9308080808080808, 0.0038430737751434323, 0.9242424242424242, 0.936026936026936 ,       0.9308080808080808,   0.0038430737751434323,      0.9242424242424242,      0.936026936026936 ,    0.937037037037037 , 0.005733800123207542 ,   0.925925925925926 ,   0.9427609427609428,       0.9245791245791246,   0.004814278471274257 ,      0.915824915824916 ,      0.9292929292929292, -0.01245791245791243                ,               0.007282212434347147 , -0.0202020202020202                , 0.0033670033670033                 ,                                    587.4,                      1.1737877907772674,                                     585,                                     589,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      297.1,                        2.024845673131659 ,                                       293,                                       300,                                           290.3,                             1.946506842754191 ,                                            288,                                            294,             0.5057878399083654 ,          0.0032300712119156688,             0.4991482112436116,             0.5093696763202725,                  0.49421216009163454,               0.003230071211915655 ,                  0.4906303236797274,                  0.5008517887563884, 0.011575679816730789  , 0.006460142423831331 , -0.0017035775127768, 0.018739352640545  ,                     18.8,     1.0327955589886444 ,                      17,                      20,              0.06407923775429099 , 0.00357733601812524             ,               0.0580204778156996,               0.0684931506849315,                                  274.6,                    1.429840705968481 ,                                   272,                                   276,                    0.935920762245709 , 0.00357733601812519                 ,                   0.9315068493150684,                   0.9419795221843004
llama31_8b   , attribute_late  ,         10,              594.0,               0.0,               594,               594,                 594.0,  0.0                ,                  594,                  594,                       0.0,      0.0                ,                        0,                        0,                             0.0,            0.0                ,                              0,                              0, 1.0               , 0.0                  , 1.0               , 1.0               , 0.0                   , 0.0                  , 0.0               , 0.0               ,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.04090909090909087 ,        0.0027548681725327703,           0.037037037037037 ,           0.0454545454545454,          0.04090909090909087 ,        0.0027548681725327703,           0.037037037037037 ,           0.0454545454545454, 0.8745791245791246, 0.00477816676933962  , 0.8636363636363636, 0.8804713804713805,       0.8745791245791246,   0.00477816676933962  ,      0.8636363636363636,      0.8804713804713805,    0.8912457912457914, 0.007453179670430539 ,   0.8754208754208754,   0.898989898989899 ,       0.8579124579124577,   0.0041389649639922985,      0.8518518518518519,      0.8619528619528619, -0.033333333333333284               ,               0.0073510764955388745, -0.0437710437710437                , -0.0235690235690235                ,                                    569.7,                      1.6363916944844767,                                     567,                                     572,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      294.6,                        2.1186998109427604,                                       291,                                       297,                                           275.1,                             1.728840330651992 ,                                            272,                                            278,             0.5171123119953356 ,          0.003064788246810187 ,             0.5131348511383538,             0.5211267605633803,                  0.4828876880046645 ,               0.0030647882468101866,                  0.4788732394366197,                  0.4868651488616462, 0.03422462399067096   , 0.006129576493620365 , 0.0262697022767075 , 0.0422535211267605 ,                     29.9,     0.8755950357709131 ,                      29,                      31,              0.1050249716013519  , 0.0031446752777423807           ,               0.1017543859649122,               0.1091549295774647,                                  254.8,                    1.2292725943057183,                                   253,                                   256,                    0.8949750283986481, 0.003144675277742364                ,                   0.8908450704225352,                   0.8982456140350877
llama31_8b   , baseline        ,         10,              594.0,               0.0,               594,               594,                 594.0,  0.0                ,                  594,                  594,                       0.0,      0.0                ,                        0,                        0,                             0.0,            0.0                ,                              0,                              0, 1.0               , 0.0                  , 1.0               , 1.0               , 0.0                   , 0.0                  , 0.0               , 0.0               ,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.024747474747474688,        0.0027548681725328168,           0.0218855218855218,           0.0303030303030303,          0.024747474747474688,        0.0027548681725328168,           0.0218855218855218,           0.0303030303030303, 0.9170033670033669, 0.0037265898352152895, 0.9124579124579124, 0.9225589225589226,       0.9170033670033669,   0.0037265898352152895,      0.9124579124579124,      0.9225589225589226,    0.9161616161616161, 0.00643754451164984  ,   0.9090909090909092,   0.925925925925926 ,       0.9178451178451178,   0.002354228615421152 ,      0.915824915824916 ,      0.9225589225589226, 0.0016835016835017001               ,               0.006198294622439529 , -0.0067340067340067                , 0.0101010101010101                 ,                                    579.3,                      1.636391694484477 ,                                     576,                                     581,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      289.5,                        1.8408935028645435,                                       287,                                       292,                                           289.8,                             1.1352924243950935,                                            288,                                            292,             0.4997382438530208 ,          0.0022298185385206423,             0.4965397923875432,             0.503448275862069 ,                  0.5002617561469794 ,               0.0022298185385206414,                  0.496551724137931 ,                  0.5034602076124568, -0.0005235122939585099, 0.004459637077041234 , -0.0069204152249134, 0.0068965517241379 ,                     17.4,     0.8432740427115678 ,                      16,                      19,              0.05999776945972128 , 0.0028508818776322195           ,               0.0551724137931034,               0.0652920962199312,                                  272.6,                    0.699205898780101 ,                                   272,                                   274,                    0.9400022305402785, 0.0028508818776322104               ,                   0.9347079037800688,                   0.9448275862068966
llama31_8b   , chain_of_thought,         10,              594.0,               0.0,               594,               594,                 594.0,  0.0                ,                  594,                  594,                       0.0,      0.0                ,                        0,                        0,                             0.0,            0.0                ,                              0,                              0, 1.0               , 0.0                  , 1.0               , 1.0               , 0.0                   , 0.0                  , 0.0               , 0.0               ,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.018013468013467978,        0.002974715663456478 ,           0.0134680134680134,           0.0235690235690235,          0.018013468013467978,        0.002974715663456478 ,           0.0134680134680134,           0.0235690235690235, 0.9367003367003367, 0.003904046494035068 , 0.9276094276094276, 0.9410774410774412,       0.9367003367003367,   0.003904046494035068 ,      0.9276094276094276,      0.9410774410774412,    0.9316498316498316, 0.009396828592114192 ,   0.915824915824916 ,   0.9427609427609428,       0.9417508417508419,   0.008255073197949847 ,      0.925925925925926 ,      0.9528619528619529, 0.010101010101010091                ,               0.015872206087240083 , -0.0168350168350168                , 0.0370370370370369                 ,                                    583.3,                      1.7669811040931427,                                     580,                                     586,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      287.8,                        4.565571644870381 ,                                       280,                                       295,                                           295.5,                             3.6285901761795403,                                            291,                                            300,             0.4933894092948597 ,          0.00691657510494138  ,             0.4827586206896552,             0.5034129692832765,                  0.5066105907051403 ,               0.006916575104941377 ,                  0.4965870307167235,                  0.5172413793103449, -0.01322118141028059  , 0.01383315020988272  , -0.0344827586206896, 0.006825938566553  ,                     11.1,     2.330951164939612  ,                       8,                      15,              0.038172769285460297, 0.008032719621587648            ,               0.0274914089347079,               0.0517241379310344,                                  279.7,                    2.4517567397911053,                                   275,                                   283,                    0.9618272307145397, 0.00803271962158762                 ,                   0.9482758620689656,                   0.972508591065292
llama31_8b   , role_based      ,         10,              594.0,               0.0,               594,               594,                 592.6,  0.8432740427115678 ,                  591,                  594,                       0.0,      0.0                ,                        0,                        0,                             1.4,            0.8432740427115678 ,                              0,                              3, 0.9949494949494948, 0.001774566588197794 , 0.9932659932659932, 0.9983164983164984, 0.005050505050505001  , 0.001774566588197761 , 0.0016835016835016, 0.0067340067340067,      0.9949494949494948,  0.001774566588197794 ,     0.9932659932659932,     0.9983164983164984,          0.04090909090909085 ,        0.003276947546724217 ,           0.0353535353535353,           0.0471380471380471,          0.04111887396653969 ,        0.0033241823795584218,           0.0355329949238578,           0.047457627118644 , 0.8957912457912458, 0.005350252047835248 , 0.8855218855218855, 0.904040404040404 ,       0.9003352647741248,   0.004478005324866856 ,      0.8915254237288136,      0.9055649241146712,    0.8966329966329967, 0.007453179670430517 ,   0.8821548821548821,   0.9057239057239056,       0.8949494949494949,   0.007578874530251012 ,      0.8855218855218855,      0.9057239057239056, -0.0016835016835017001              ,               0.010558298385087945 , -0.0168350168350168                , 0.0168350168350168                 ,                                    566.7,                      2.5407785333546005,                                     562,                                     570,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      282.0,                        2.6666666666666665,                                       275,                                       285,                                           284.7,                             2.0575065816014617,                                            282,                                            288,             0.4976136482837961 ,          0.0035737969247646856,             0.4893238434163701,             0.5017605633802817,                  0.5023863517162039 ,               0.0035737969247646674,                  0.4982394366197183,                  0.5106761565836299, -0.004772703432407819 , 0.0071475938495293425, -0.0213523131672598, 0.0035211267605634 ,                     15.7,     1.636391694484477  ,                      13,                      18,              0.05576464983696948 , 0.005720531079079163            ,               0.0464285714285714,               0.0640569395017793,                                  265.8,                    2.250925735484551 ,                                   263,                                   269,                    0.9442353501630306, 0.005720531079079188                ,                   0.9359430604982206,                   0.9535714285714286
ministral3_8b, attribute_early ,         10,              594.0,               0.0,               594,               594,                 591.9,  0.875595035770913  ,                  591,                  593,                       2.1,      0.8755950357709131 ,                        1,                        3,                             0.0,            0.0                ,                              0,                              0, 0.9964646464646464, 0.0014740657167861418, 0.9949494949494948, 0.9983164983164984, 0.00353535353535347   , 0.0014740657167860635, 0.0016835016835016, 0.005050505050505 ,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.10942760942760939 ,        0.0023808309130860426,           0.106060606060606 ,           0.1127946127946128,          0.1098163502782535  ,        0.0024083684035409274,           0.1062394603709949,           0.1133671742808798, 0.8636363636363636, 0.004627503507988374 , 0.8569023569023569, 0.8737373737373737,       0.8666993083319664,   0.004205362286891883 ,      0.8612521150592216,      0.8752107925801011,    0.852188552188552 , 0.004879251429693391 ,   0.8451178451178452,   0.8619528619528619,       0.8750841750841751,   0.005600437687934743 ,      0.8653198653198653,      0.8855218855218855, 0.022895622895622837                ,               0.004968786446953682 , 0.0168350168350167                 , 0.0303030303030302                 ,                                    526.9,                      1.728840330651992 ,                                     524,                                     530,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      261.2,                        1.0327955589886446,                                       259,                                       262,                                           265.7,                             1.4944341180973264,                                            263,                                            268,             0.49573158815186263,          0.0018010257506457037,             0.4933333333333333,             0.4980988593155893,                  0.5042684118481373 ,               0.0018010257506457378,                  0.5019011406844106,                  0.5066666666666667, -0.008536823696274589 , 0.0036020515012914114, -0.0133333333333333, -0.0038022813688213,                      8.1,     0.8755950357709131 ,                       6,                       9,              0.03022988729448863 , 0.0033215737791370352           ,               0.0223048327137546,               0.0338345864661654,                                  259.9,                    1.66332999331662  ,                                   257,                                   263,                    0.9697701127055114, 0.003321573779137028                ,                   0.9661654135338346,                   0.9776951672862454
ministral3_8b, attribute_late  ,         10,              594.0,               0.0,               594,               594,                 591.8,  0.42163702135578396,                  591,                  592,                       2.1,      0.31622776601683794,                        2,                        3,                             0.1,            0.31622776601683794,                              0,                              1, 0.9962962962962962, 0.0007098266352791644, 0.9949494949494948, 0.9966329966329966, 0.0037037037037036405 , 0.0007098266352791044, 0.0033670033670033, 0.005050505050505 ,      0.9998316498316498,  0.0005323699764593032,     0.9983164983164984,     1.0               ,          0.15319865319865317 ,        0.002244668911335561 ,           0.1481481481481481,           0.1565656565656565,          0.15376823524031646 ,        0.002254920570779288 ,           0.1486486486486486,           0.1570945945945946, 0.8183501683501684, 0.0039241602103360605, 0.8148148148148148, 0.8282828282828283,       0.8213929665706315,   0.0040330012994083475,      0.8175675675675675,      0.831081081081081 ,    0.7983164983164983, 0.006817662199096494 ,   0.7878787878787878,   0.8114478114478114,       0.8383838383838385,   0.0035491331763955183,      0.835016835016835 ,      0.8451178451178452, 0.04006734006734001                 ,               0.007520478369360718 , 0.0303030303030302                 , 0.0538720538720539                 ,                                    500.8,                      1.3984117975602022,                                     499,                                     504,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      246.8,                        1.6865480854231356,                                       243,                                       249,                                           254.0,                             1.3333333333333333,                                            252,                                            256,             0.49280953715254816,          0.002707059842392926 ,             0.4869739478957915,             0.496             ,                  0.5071904628474518 ,               0.002707059842392895 ,                  0.504             ,                  0.5130260521042084, -0.014380925694903662 , 0.005414119684785801 , -0.0260521042084168, -0.008             ,                      9.7,     0.9486832980505138 ,                       8,                      11,              0.03749099335154891 , 0.0036123045963363156           ,               0.0308880308880308,               0.0424710424710424,                                  249.0,                    1.0540925533894598,                                   248,                                   251,                    0.9625090066484511, 0.0036123045963363065               ,                   0.9575289575289576,                   0.9691119691119692
ministral3_8b, baseline        ,         10,              594.0,               0.0,               594,               594,                 593.9,  0.31622776601683794,                  593,                  594,                       0.1,      0.31622776601683794,                        0,                        1,                             0.0,            0.0                ,                              0,                              0, 0.9998316498316498, 0.0005323699764593032, 0.9983164983164984, 1.0               , 0.00016835016835015998, 0.0005323699764592967, 0.0               , 0.0016835016835016,      1.0               ,  0.0                  ,     1.0               ,     1.0               ,          0.0685185185185185  ,        0.002754868172532818 ,           0.0656565656565656,           0.0723905723905724,          0.06852959045201877 ,        0.0027422815661207055,           0.0656565656565656,           0.0723905723905724, 0.9011784511784514, 0.0023874351724110497, 0.8973063973063973, 0.9057239057239056,       0.9013300514986857,   0.0022786778624668933,      0.8973063973063973,      0.9057239057239056,    0.874074074074074 , 0.005069176112519041 ,   0.8686868686868687,   0.8821548821548821,       0.9282828282828282,   0.0039040464940349787,      0.9225589225589226,      0.936026936026936 , 0.05420875420875415                 ,               0.007686147550286807 , 0.0471380471380471                 , 0.0673400673400672                 ,                                    553.2,                      1.5491933384829668,                                     551,                                     555,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      268.2,                        2.097617696340303 ,                                       264,                                       270,                                           285.0,                             0.816496580927726 ,                                            284,                                            287,             0.48481001300860377,          0.0025552599384738215,             0.4791288566243194,             0.4873646209386281,                  0.5151899869913963 ,               0.0025552599384738597,                  0.5126353790613718,                  0.5208711433756806, -0.03037997398279251  , 0.005110519876947663 , -0.0417422867513611, -0.0252707581227437,                      8.6,     1.0749676997731399 ,                       6,                      10,              0.0302495675809241  , 0.0037823865853944746           ,               0.0211267605633802,               0.0352112676056338,                                  275.7,                    1.1595018087284057,                                   274,                                   278,                    0.969750432419076 , 0.0037823865853944274               ,                   0.9647887323943662,                   0.9788732394366196
ministral3_8b, chain_of_thought,         10,              594.0,               0.0,               594,               594,                 594.0,  0.0                ,                  594,                  594,                       0.0,      0.0                ,                        0,                        0,                             0.0,            0.0                ,                              0,                              0, 0.9998316498316498, 0.0005323699764593032, 0.9983164983164984, 1.0               , 0.00016835016835015998, 0.0005323699764592967, 0.0               , 0.0016835016835016,      0.9998316498316498,  0.0005323699764593032,     0.9983164983164984,     1.0               ,          0.08265993265993261 ,        0.005170661952767432 ,           0.0757575757575757,           0.0909090909090909,          0.08267497913366374 ,        0.005192065319338333 ,           0.0757575757575757,           0.0909090909090909, 0.8865319865319867, 0.00496878644695367  , 0.8787878787878788, 0.8973063973063973,       0.8866801801034517,   0.004728442652088445 ,      0.8802698145025295,      0.8973063973063973,    0.8629629629629629, 0.008406277580729076 ,   0.8552188552188552,   0.8821548821548821,       0.9101010101010101,   0.006553895093448442 ,      0.8922558922558923,      0.915824915824916 , 0.04713804713804708                 ,               0.011335022377510755 , 0.026936026936027                  , 0.0572390572390573                 ,                                    544.8,                      3.2249030993194197,                                     540,                                     549,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      264.1,                        2.685351208149711 ,                                       261,                                       268,                                           280.7,                             3.1287200080686173,                                            274,                                            286,             0.48476853202800096,          0.004447087706466877 ,             0.4781021897810219,             0.4925925925925926,                  0.515231467971999  ,               0.004447087706466883 ,                  0.5074074074074074,                  0.5218978102189781, -0.03046293594399797  , 0.008894175412933724 , -0.0437956204379561, -0.0148148148148148,                      7.8,     1.3165611772087666 ,                       6,                      10,              0.028040702705845348, 0.0046880888135667235           ,               0.0216606498194945,               0.0357142857142857,                                  270.3,                    1.9465068427541912,                                   265,                                   272,                    0.9719592972941544, 0.0046880888135667044               ,                   0.9642857142857144,                   0.9783393501805054
ministral3_8b, role_based      ,         10,              594.0,               0.0,               594,               594,                 591.9,  0.8755950357709131 ,                  590,                  593,                       1.9,      0.5676462121975467 ,                        1,                        3,                             0.2,            0.42163702135578396,                              0,                              1, 0.9968013468013467, 0.0009556333538679747, 0.9949494949494948, 0.9983164983164984, 0.00319865319865313   , 0.000955633353867933 , 0.0016835016835016, 0.005050505050505 ,      0.9996632996632997,  0.0007098266352790708,     0.9983164983164984,     1.0               ,          0.13939393939393935 ,        0.0037894372651255106,           0.132996632996633 ,           0.1447811447811448,          0.1398413009593255  ,        0.0037988361230907397,           0.133220910623946 ,           0.1452702702702702, 0.8297979797979798, 0.005408790464656111 , 0.8232323232323232, 0.8400673400673401,       0.8324599669541396,   0.005230140509411394 ,      0.8260135135135135,      0.8414839797639123,    0.8080808080808082, 0.0070982663527909655,   0.797979797979798 ,   0.8215488215488216,       0.8515151515151516,   0.006033526399872301 ,      0.8417508417508418,      0.8619528619528619, 0.04343434343434338                 ,               0.007520478369360687 , 0.0303030303030303                 , 0.0538720538720538                 ,                                    509.3,                      2.3118054512532935,                                     506,                                     514,              297.0,               0.0,               297,               297,                 297.0,                  0.0,                  297,                  297,                                      247.8,                        2.7406406388125952,                                       244,                                       252,                                           261.5,                             1.8408935028645435,                                            258,                                            264,             0.48654278851146665,          0.004008600441110685 ,             0.4812623274161736,             0.4941176470588235,                  0.5134572114885334 ,               0.004008600441110711 ,                  0.5058823529411764,                  0.5187376725838264, -0.026914422977066803 , 0.00801720088222139  , -0.0374753451676528, -0.0117647058823529,                      7.8,     1.2292725943057183 ,                       6,                      10,              0.029916795039622978, 0.0046852002162092255           ,               0.0229007633587786,               0.0383141762452107,                                  252.9,                    1.7919573407620815,                                   250,                                   256,                    0.970083204960377 , 0.004685200216209249                ,                   0.9616858237547892,                   0.9770992366412212
