model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
ministral3_8b,attribute_late,Sexual_orientation,0.4407407407407407,0.0191258436849749,0.4415094339622641,0.0177416614418968,54.0
ministral3_8b,role_based,Sexual_orientation,0.3111111111111111,0.0210239337850943,0.3117051013277428,0.0212231676227162,54.0
ministral3_8b,attribute_early,Sexual_orientation,0.2555555555555555,0.00780809298807,0.2555555555555555,0.00780809298807,54.0
ministral3_8b,attribute_late,Physical_appearance,0.2462962962962963,0.0196175908420626,0.2462962962962963,0.0196175908420626,54.0
ministral3_8b,attribute_late,Religion,0.2333333333333333,0.0178905885755425,0.2377358490566037,0.0182281468505527,54.0
ministral3_8b,role_based,Physical_appearance,0.2203703703703703,0.0136641627291226,0.2245283018867924,0.0139219771202381,54.0
ministral3_8b,role_based,Gender_identity,0.2203703703703703,0.0105119668925471,0.2203703703703703,0.0105119668925471,54.0
ministral3_8b,role_based,Religion,0.2074074074074074,0.0117121394821051,0.2074074074074074,0.0117121394821051,54.0
ministral3_8b,attribute_early,Religion,0.1981481481481481,0.0124990473650102,0.1981481481481481,0.0124990473650102,54.0
ministral3_8b,attribute_late,SES,0.1925925925925925,0.0095629218424874,0.1925925925925925,0.0095629218424874,54.0
ministral3_8b,baseline,Religion,0.1629629629629629,0.0170173441383829,0.1629629629629629,0.0170173441383829,54.0
ministral3_8b,attribute_late,Disability_status,0.1555555555555555,0.0129482573848166,0.1555555555555555,0.0129482573848166,54.0
ministral3_8b,chain_of_thought,Sexual_orientation,0.1518518518518518,0.0191258436849748,0.1518518518518518,0.0191258436849748,54.0
ministral3_8b,role_based,SES,0.1518518518518518,0.0191258436849748,0.1518518518518518,0.0191258436849748,54.0
ministral3_8b,baseline,Sexual_orientation,0.1481481481481481,0.0123456790123456,0.1481481481481481,0.0123456790123456,54.0
ministral3_8b,attribute_early,SES,0.1462962962962962,0.0058560697410525,0.1476939203354297,0.006497344399039,54.0
ministral3_8b,baseline,Physical_appearance,0.1388888888888888,0.0157377145481258,0.1390985324947589,0.0153353904511037,54.0
