model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
qwen3_8b,attribute_late,Sexual_orientation,0.3703703703703703,0.008729713347982,0.3703703703703703,0.008729713347982,54.0
qwen3_8b,role_based,Religion,0.2592592592592592,5.851389114294502e-17,0.2592592592592592,5.851389114294502e-17,54.0
qwen3_8b,attribute_late,Religion,0.2444444444444444,0.00780809298807,0.2444444444444444,0.00780809298807,54.0
qwen3_8b,role_based,Sexual_orientation,0.2407407407407407,0.0123456790123456,0.2407407407407407,0.0123456790123456,54.0
qwen3_8b,role_based,Gender_identity,0.2296296296296296,0.0156161859761401,0.2296296296296296,0.0156161859761401,54.0
qwen3_8b,attribute_early,Religion,0.2222222222222222,0.0123456790123456,0.2222222222222222,0.0123456790123456,54.0
qwen3_8b,attribute_early,Sexual_orientation,0.1962962962962962,0.0095629218424874,0.1962962962962962,0.0095629218424874,54.0
qwen3_8b,role_based,Physical_appearance,0.1944444444444444,0.0130945700219731,0.1944444444444444,0.0130945700219731,54.0
qwen3_8b,attribute_late,Physical_appearance,0.1851851851851851,0.0,0.1851851851851851,0.0,54.0
qwen3_8b,baseline,Religion,0.1833333333333333,0.0058560697410525,0.1833333333333333,0.0058560697410525,54.0
qwen3_8b,baseline,Physical_appearance,0.1796296296296296,0.0089452942877712,0.1796296296296296,0.0089452942877712,54.0
qwen3_8b,attribute_late,SES,0.15,0.0058560697410525,0.15,0.0058560697410525,54.0
qwen3_8b,role_based,SES,0.1444444444444444,0.00780809298807,0.1444444444444444,0.00780809298807,54.0
qwen3_8b,chain_of_thought,Religion,0.1351851851851851,0.0175682092231576,0.1351851851851851,0.0175682092231576,54.0
qwen3_8b,attribute_early,Physical_appearance,0.1296296296296296,0.0123456790123456,0.1296296296296296,0.0123456790123456,54.0
qwen3_8b,attribute_late,Disability_status,0.1296296296296296,2.925694557147251e-17,0.1296296296296296,2.925694557147251e-17,54.0
qwen3_8b,baseline,Gender_identity,0.1074074074074074,0.0117121394821051,0.1074074074074074,0.0117121394821051,54.0
qwen3_8b,chain_of_thought,Physical_appearance,0.0999999999999999,0.0129482573848166,0.0999999999999999,0.0129482573848166,54.0
qwen3_8b,chain_of_thought,Sexual_orientation,0.0944444444444444,0.0058560697410525,0.0944444444444444,0.0058560697410525,54.0
qwen3_8b,attribute_early,Gender_identity,0.0944444444444444,0.0058560697410525,0.0944444444444444,0.0058560697410525,54.0
qwen3_8b,baseline,SES,0.0925925925925925,0.0,0.0925925925925925,0.0,54.0
qwen3_8b,baseline,Sexual_orientation,0.0907407407407407,0.0058560697410525,0.0907407407407407,0.0058560697410525,54.0
qwen3_8b,attribute_late,Nationality,0.0685185185185185,0.0089452942877712,0.0685185185185185,0.0089452942877712,54.0
qwen3_8b,attribute_early,SES,0.0611111111111111,0.0089452942877712,0.0611111111111111,0.0089452942877712,54.0
qwen3_8b,attribute_early,Race_x_SES,0.0592592592592592,0.00780809298807,0.0592592592592592,0.00780809298807,54.0
qwen3_8b,role_based,Race_x_gender,0.0555555555555555,0.008729713347982,0.0555555555555555,0.008729713347982,54.0
qwen3_8b,attribute_late,Race_ethnicity,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
qwen3_8b,baseline,Age,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
qwen3_8b,baseline,Nationality,0.0555555555555555,0.008729713347982,0.0555555555555555,0.008729713347982,54.0
qwen3_8b,attribute_late,Race_x_SES,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
qwen3_8b,role_based,Disability_status,0.0537037037037037,0.0058560697410525,0.0537037037037037,0.0058560697410525,54.0
qwen3_8b,attribute_late,Age,0.0518518518518518,0.00780809298807,0.0518518518518518,0.00780809298807,54.0
qwen3_8b,baseline,Race_ethnicity,0.0462962962962963,0.0097601162350875,0.0462962962962963,0.0097601162350875,54.0
qwen3_8b,attribute_late,Gender_identity,0.037037037037037,0.0,0.037037037037037,0.0,54.0
qwen3_8b,role_based,Race_x_SES,0.037037037037037,0.0,0.037037037037037,0.0,54.0
qwen3_8b,chain_of_thought,SES,0.037037037037037,0.0,0.037037037037037,0.0,54.0
qwen3_8b,attribute_late,Race_x_gender,0.037037037037037,0.0,0.037037037037037,0.0,54.0
qwen3_8b,attribute_early,Race_ethnicity,0.037037037037037,0.0,0.037037037037037,0.0,54.0
qwen3_8b,role_based,Race_ethnicity,0.0351851851851851,0.0058560697410525,0.0351851851851851,0.0058560697410525,54.0
qwen3_8b,baseline,Race_x_gender,0.0351851851851851,0.0058560697410525,0.0351851851851851,0.0058560697410525,54.0
