example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
6423,SES,88,7,12.571429,61.325,11.428571,178.536005,27,13,3
3295,Race_x_SES,97,6,16.166667,50.505976,12.978397,153.868486,25,12,17
995,Religion,99,5,19.8,68.337829,8.058915,182.322632,29,14,10
585,Nationality,111,5,22.2,63.276188,9.385165,96.880907,29,17,9
1907,Gender_identity,104,5,20.8,61.814052,9.937931,147.210744,37,12,8
6537,Race_x_SES,120,6,20.0,59.170909,8.889466,150.815345,30,21,17
593,Sexual_orientation,116,7,16.571429,66.281,8.514286,139.202039,30,24,10
7749,Race_x_gender,96,5,19.2,71.845556,6.110053,121.95122,36,9,7
287,Religion,123,8,15.375,65.113077,7.892308,204.988662,33,17,13
775,Disability_status,124,8,15.5,71.620769,7.892308,140.619438,31,17,5
3037,Age,127,9,14.111111,62.914899,9.979798,172.063956,37,16,10
3727,SES,132,6,22.0,51.857391,11.440994,153.091558,43,18,9
1729,Age,154,7,22.0,58.577321,12.014286,132.285601,27,25,12
789,Physical_appearance,89,6,14.833333,62.445,8.003175,198.911616,27,10,9
521,Sexual_orientation,115,8,14.375,84.49875,6.466667,161.547455,28,15,11
11597,Race_x_gender,107,6,17.833333,62.681213,8.014706,153.08642,45,13,4
2419,Age,157,10,15.7,78.073364,7.098182,105.349794,35,27,10
1973,Race_ethnicity,87,4,21.75,61.656057,6.854726,126.958937,36,9,3
1289,Nationality,105,8,13.125,57.714116,9.867241,149.793388,22,15,13
2233,Age,113,6,18.833333,66.89625,8.819048,97.875885,27,17,11
2661,Age,118,7,16.857143,82.220814,6.309635,212.741357,31,15,9
191,Religion,117,6,19.5,75.027732,8.429455,143.690129,29,17,13
267,Sexual_orientation,95,8,11.875,56.7025,10.071429,167.657369,26,10,10
2445,Race_ethnicity,84,5,16.8,57.128732,8.564185,123.45679,33,13,3
3609,Race_x_gender,101,6,16.833333,56.629324,10.174517,102.547669,42,13,2
2973,Race_ethnicity,92,7,13.142857,56.319375,9.083333,124.65374,34,11,6
4419,Race_ethnicity,90,6,15.0,62.543547,10.186486,99.555556,33,12,2
3105,SES,111,8,13.875,54.71886,10.838235,113.62135,37,10,5
4003,Race_ethnicity,127,6,21.166667,48.211589,13.964753,161.179698,44,15,4
691,Sexual_orientation,118,8,14.75,63.8635,10.6,180.374473,26,16,15
201,Religion,111,6,18.5,68.050412,8.017084,237.401083,34,10,15
189,Disability_status,86,6,14.333333,58.340411,8.007045,109.569028,28,11,4
865,Nationality,84,7,12.0,73.795735,7.517647,138.626339,23,13,8
111,Religion,111,6,18.5,76.59,7.569048,142.416835,28,15,15
1003,Age,105,5,21.0,68.439462,8.804103,157.785467,29,13,6
569,Disability_status,102,6,17.0,46.80686,9.565449,136.880165,33,11,7
2005,Gender_identity,122,6,20.333333,62.801447,9.708176,176.434623,47,15,9
253,Sexual_orientation,93,9,10.333333,71.518204,6.987975,175.0,22,12,11
2431,SES,100,6,16.666667,68.045,8.100348,168.384381,27,15,5
155,Religion,113,7,16.142857,74.8275,8.819048,131.788713,32,15,10
515,Race_x_gender,101,4,25.25,62.117308,7.534066,124.92564,36,14,3
865,Disability_status,97,7,13.857143,63.661013,8.05859,112.787685,26,13,8
2633,Nationality,141,10,14.1,69.867192,6.389402,162.309681,32,14,16
1575,Physical_appearance,119,8,14.875,61.424642,10.033443,175.322839,27,21,6
3771,Race_x_SES,99,4,24.75,52.952152,10.083906,140.625,35,14,7
2299,Age,154,10,15.4,77.66243,7.020465,106.749311,32,27,10
3511,Race_x_gender,112,7,16.0,52.296292,8.68122,156.985871,28,18,13
