example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
6423,SES,102,8,12.75,66.66239,9.897059,186.587345,29,18,4
3295,Race_x_SES,103,7,14.714286,54.796875,12.166092,165.289256,26,15,15
995,Religion,113,6,18.833333,71.539072,7.604713,160.349854,28,19,11
585,Nationality,116,6,19.333333,70.303803,8.022451,106.205748,30,21,9
1907,Gender_identity,122,7,17.428571,66.48625,8.318868,234.081579,40,14,13
6537,Race_x_SES,129,7,18.428571,66.754702,7.966822,125.619835,28,23,15
593,Sexual_orientation,123,8,15.375,70.476816,7.564151,124.028299,30,26,11
7749,Race_x_gender,100,5,20.0,73.64069,6.350739,121.384298,35,10,10
287,Religion,163,8,20.375,60.904462,9.947203,227.623457,41,25,16
775,Disability_status,124,8,15.5,70.807308,7.507692,113.919544,30,18,6
3037,Age,163,10,16.3,69.5235,9.327943,168.617338,41,22,10
3727,SES,115,7,16.428571,60.110739,9.394444,124.0,36,17,8
1729,Age,161,8,20.125,61.263333,11.333333,116.326531,30,25,15
789,Physical_appearance,82,6,13.666667,67.256154,7.406593,142.332415,24,11,7
521,Sexual_orientation,125,9,13.888889,85.41619,6.190476,179.779281,31,17,12
11597,Race_x_gender,102,5,20.4,71.291786,7.057143,103.051922,35,12,5
2419,Age,184,11,16.727273,77.810714,7.418182,137.79843,39,32,12
1973,Race_ethnicity,95,4,23.75,63.984,6.419048,154.503616,35,11,5
1289,Nationality,109,9,12.111111,64.961618,8.436715,131.807145,21,17,15
2233,Age,138,7,19.714286,61.637715,10.319748,103.818045,32,25,9
2661,Age,120,8,15.0,78.122928,6.013158,192.0,34,16,10
191,Religion,132,7,18.857143,78.218288,8.184783,188.763377,29,24,15
267,Sexual_orientation,101,8,12.625,52.247586,10.48867,167.871901,30,12,8
2445,Race_ethnicity,91,5,18.2,54.443947,9.606015,138.303255,36,13,3
3609,Race_x_gender,101,6,16.833333,58.344,10.152381,90.625,39,12,3
2973,Race_ethnicity,105,8,13.125,57.447739,9.868734,166.46849,34,13,9
4419,Race_ethnicity,92,7,13.142857,71.363889,8.11462,84.331253,30,12,4
3105,SES,113,9,12.555556,61.325,9.777778,111.058601,36,13,7
4003,Race_ethnicity,100,7,14.285714,60.690625,10.367647,113.574905,33,13,6
691,Sexual_orientation,112,8,14.0,67.755,10.216667,140.291211,27,17,10
201,Religion,116,7,16.571429,71.4775,7.4,192.138026,33,15,13
189,Disability_status,86,6,14.333333,57.745,8.003175,108.838431,28,11,4
865,Nationality,85,7,12.142857,76.698016,6.928261,163.265306,23,13,7
111,Religion,110,7,15.714286,80.0925,6.883333,127.537464,26,17,13
1003,Age,114,6,19.0,70.107257,8.180524,165.233137,32,15,4
569,Disability_status,92,6,15.333333,53.330789,8.553383,78.895464,28,12,6
2005,Gender_identity,102,6,17.0,66.676121,8.098851,154.958678,38,13,7
253,Sexual_orientation,103,10,10.3,66.847273,7.581818,171.695493,27,14,9
2431,SES,104,7,14.857143,70.692727,7.581818,148.97109,27,19,6
155,Religion,126,8,15.75,79.053295,8.045455,116.87363,34,21,11
515,Race_x_gender,102,5,20.4,67.047014,6.519136,127.55102,31,15,6
