example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
6423,SES,85,7,12.142857,61.325,11.428571,178.536005,27,13,3
3295,Race_x_SES,107,6,17.833333,52.296292,13.175602,200.0,27,13,17
995,Religion,106,5,21.2,69.41,8.222222,171.476875,30,17,9
585,Nationality,112,5,22.4,62.745109,9.382609,94.808648,30,17,9
1907,Gender_identity,101,5,20.2,61.814052,9.937931,147.210744,37,12,8
6537,Race_x_SES,126,6,21.0,62.414615,9.01978,142.318244,31,21,15
593,Sexual_orientation,116,7,16.571429,67.127,8.514286,129.399079,30,24,9
7749,Race_x_gender,90,5,18.0,70.418052,5.958442,121.630506,36,7,7
287,Religion,121,8,15.125,65.113077,7.892308,204.988662,33,17,13
775,Disability_status,123,8,15.375,71.620769,7.892308,140.619438,31,17,5
3037,Age,135,9,15.0,63.486154,10.328205,178.109739,39,17,10
3727,SES,116,6,19.333333,58.667,10.114286,123.517302,36,17,8
1729,Age,158,7,22.571429,56.682078,12.65155,127.595156,29,24,12
789,Physical_appearance,80,6,13.333333,63.351538,8.021978,165.289256,25,10,8
521,Sexual_orientation,116,8,14.5,84.635341,6.499485,158.267389,28,15,11
11597,Race_x_gender,97,5,19.4,64.286538,8.046886,133.848899,39,11,4
2419,Age,157,10,15.7,78.073364,7.098182,105.349794,35,27,10
1973,Race_ethnicity,85,4,21.25,60.479167,6.794872,134.425541,36,8,3
1289,Nationality,104,8,13.0,58.195,9.854545,148.97109,22,15,13
2233,Age,128,6,21.333333,64.754091,9.922078,103.635204,30,20,11
2661,Age,123,7,17.571429,80.705,6.648024,209.783355,33,16,10
191,Religion,114,6,19.0,75.027732,8.429455,143.690129,29,17,13
267,Sexual_orientation,95,7,13.571429,54.255643,10.836287,159.375,25,10,10
2445,Race_ethnicity,82,5,16.4,55.83,8.580538,134.693878,33,12,3
3609,Race_x_gender,100,5,20.0,54.840991,10.879279,102.547669,42,13,2
2973,Race_ethnicity,92,7,13.142857,56.319375,9.083333,124.65374,34,11,6
4419,Race_ethnicity,93,6,15.5,63.613553,10.115789,94.451004,33,12,2
3105,SES,112,9,12.444444,56.023333,10.303448,128.77162,37,10,6
4003,Race_ethnicity,94,6,15.666667,52.4725,12.071429,106.691053,37,11,3
691,Sexual_orientation,106,7,15.142857,62.752472,10.928411,138.271605,25,14,12
201,Religion,103,6,17.166667,68.455843,7.782343,202.469136,32,10,13
189,Disability_status,89,6,14.833333,54.96,8.552381,117.728532,29,12,4
865,Nationality,83,7,11.857143,73.328405,7.529104,151.384083,22,13,8
111,Religion,114,6,19.0,76.084184,7.640816,138.761351,29,15,15
1003,Age,108,6,18.0,69.158455,7.905691,166.645626,30,14,5
569,Disability_status,97,6,16.166667,49.912222,9.073016,110.320801,31,11,7
2005,Gender_identity,100,5,20.0,63.460721,9.205581,150.614348,38,12,7
253,Sexual_orientation,96,8,12.0,70.086329,7.55226,162.5,22,12,11
2431,SES,96,6,16.0,67.944557,8.05859,171.875,26,15,5
155,Religion,113,7,16.142857,74.155567,8.841826,141.607663,33,15,10
515,Race_x_gender,89,4,22.25,63.742143,6.857143,93.826234,31,13,3
865,Disability_status,95,7,13.571429,63.201923,8.046886,112.5,26,13,8
2633,Nationality,133,10,13.3,70.811867,6.194862,133.884298,29,14,15
1575,Physical_appearance,119,8,14.875,61.424642,10.033443,175.322839,27,21,6
3771,Race_x_SES,105,4,26.25,56.164118,10.033613,129.799892,35,16,7
2299,Age,154,10,15.4,77.66243,7.020465,106.749311,32,27,10
3511,Race_x_gender,111,7,15.857143,52.785,8.698413,163.043478,28,18,13
4343,Race_x_SES,109,6,18.166667,60.158043,8.735404,157.243612,35,13,13
6241,Race_ethnicity,94,5,18.8,69.015443,6.539602,96.875,33,13,3
109,Age,109,7,15.571429,77.010899,7.332905,83.950617,25,17,4
159,Race_ethnicity,94,6,15.666667,73.6225,7.571429,204.237159,32,11,5
3119,Race_x_gender,103,5,20.6,52.754545,10.028571,75.748012,35,18,2
4101,Race_ethnicity,115,8,14.375,58.088182,11.268687,100.0,35,20,5
5599,Gender_identity,84,4,21.0,57.265,10.742857,107.121603,30,11,5
4345,Race_ethnicity,101,6,16.833333,70.284643,7.533333,99.653979,34,13,5
1783,SES,106,8,13.25,54.624857,10.41506,142.045455,38,12,7
5413,Race_x_gender,78,4,19.5,55.542308,8.637363,119.375574,34,11,5
7397,Race_x_SES,143,8,17.875,71.530965,8.575439,173.913043,33,21,9
429,Sexual_orientation,104,7,14.857143,69.097727,9.119481,160.493827,26,16,12
4563,Gender_identity,85,5,17.0,58.355,11.466667,105.085382,30,13,5
6127,SES,101,7,14.428571,64.671801,9.426471,156.841536,27,20,5
733,Sexual_orientation,122,7,17.428571,60.232308,9.430769,112.471655,30,14,16
571,Nationality,115,6,19.166667,59.90875,9.380851,90.858726,32,16,10
697,Physical_appearance,134,7,19.142857,69.165044,9.996966,132.348415,27,25,10
1867,Gender_identity,68,5,13.6,43.26881,12.304762,135.426285,28,9,4
161,Sexual_orientation,82,7,11.714286,71.76913,7.421118,183.673469,25,10,10
3471,Race_x_SES,112,6,18.666667,62.356452,10.475576,190.131281,33,16,13
645,Race_ethnicity,92,6,15.333333,52.217632,9.606015,145.049755,24,8,14
601,Disability_status,97,6,16.166667,68.712222,7.097707,110.320801,30,13,6
7177,Race_x_SES,121,4,30.25,60.683069,10.127864,113.417916,35,25,6
103,Age,111,6,18.5,73.372701,8.704029,77.977316,26,17,4
8727,Race_x_SES,138,7,19.714286,67.824615,7.935043,136.455042,41,21,11
917,Race_ethnicity,103,8,12.875,65.885909,10.309091,164.120692,29,12,9
3465,SES,112,7,16.0,66.89625,8.402381,121.160591,31,17,9
571,Age,107,7,15.285714,76.795,6.071429,243.096842,24,15,9
5637,Gender_identity,87,4,21.75,54.83,12.022222,101.332333,29,14,5
4441,SES,113,6,18.833333,72.411237,8.429455,122.865473,32,15,7
585,Gender_identity,122,7,17.428571,80.527264,7.943935,158.965849,40,21,5
6933,Race_x_SES,120,4,30.0,67.384059,9.335785,111.495579,35,23,7
389,Religion,90,5,18.0,60.009737,7.500752,172.035756,26,12,12
11005,Race_x_SES,140,5,28.0,70.248696,8.658385,101.070155,48,18,9
3017,Age,132,9,14.666667,61.883596,9.978947,172.400756,38,18,6
1629,Race_ethnicity,137,6,22.833333,64.325328,10.905855,109.723048,38,20,11
2187,Gender_identity,98,6,16.333333,72.89,8.085362,145.746579,32,17,3
6417,SES,83,7,11.857143,63.186522,10.899379,183.673469,27,11,3
543,Sexual_orientation,115,6,19.166667,71.3025,9.235714,170.049952,28,14,11
13231,Race_x_gender,79,5,15.8,46.86125,11.157143,104.142012,32,11,5
2103,Race_x_SES,116,6,19.333333,55.560565,10.070968,160.706202,45,15,3
2771,Age,124,6,20.666667,79.072632,7.112782,203.767782,33,17,10
93,Disability_status,87,6,14.5,65.97,7.447619,116.34453,27,14,3
697,Disability_status,119,8,14.875,71.4775,7.8,124.951942,27,21,5
319,Disability_status,102,7,14.571429,74.865909,6.392208,121.196819,27,13,11
5,Race_ethnicity,96,6,16.0,60.904797,8.881301,217.738424,27,10,12
9075,Race_x_SES,104,5,20.8,65.604157,8.231782,251.851852,37,12,4
1555,Disability_status,91,6,15.166667,60.52974,8.555844,193.951348,27,10,5
1127,Religion,102,7,14.571429,53.947706,11.77603,158.024691,32,13,7
14835,Race_x_gender,79,6,13.166667,69.735817,4.480769,156.10652,31,12,1
2087,Nationality,132,8,16.5,60.390625,9.610684,163.74605,38,19,10
229,Nationality,125,8,15.625,69.559252,10.226435,94.30727,31,18,11
1719,Age,152,7,21.714286,66.090466,10.879104,110.836763,36,25,16
725,Religion,102,7,14.571429,65.65,8.666667,154.570704,29,14,10
225,Physical_appearance,127,6,21.166667,58.008333,10.615873,107.735039,31,17,11
1105,Race_x_gender,100,7,14.285714,75.154716,6.147804,110.978993,35,14,4
5243,Gender_identity,102,5,20.4,71.330488,9.205581,113.636364,30,17,4
327,Physical_appearance,137,8,17.125,40.981776,15.875439,140.258602,33,24,11
10961,Race_x_gender,92,5,18.4,68.496,6.952381,135.041551,35,14,1
5707,SES,113,8,14.125,70.10163,9.817391,142.598461,30,21,3
4907,Race_ethnicity,109,5,21.8,52.805,9.201216,68.698061,39,20,6
83,Sexual_orientation,104,6,17.333333,66.213636,8.664935,85.847746,27,14,16
3787,Gender_identity,101,6,16.833333,73.020539,8.019608,129.799892,34,15,3
2413,Age,155,10,15.5,77.698179,6.852537,113.03155,36,26,11
2685,Nationality,107,7,15.285714,73.871215,8.494944,160.493827,29,17,12
1397,Physical_appearance,127,5,25.4,57.966905,12.109524,197.352964,34,20,13
871,Race_ethnicity,102,7,14.571429,67.465,10.030565,123.966942,30,19,6
1339,Gender_identity,90,4,22.5,81.549386,6.119298,104.570754,29,13,9
865,Religion,106,5,21.2,59.900787,9.580096,160.493827,30,15,11
1085,Nationality,122,7,17.428571,71.981553,8.99251,129.43787,42,19,5
547,Physical_appearance,125,7,17.857143,69.559252,9.10494,137.174211,29,20,12
5417,Gender_identity,78,4,19.5,54.567708,9.891667,127.810651,25,12,5
1313,Physical_appearance,113,5,22.6,65.152727,9.293506,236.0,37,13,4
