example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
6423,SES,118,8,14.75,67.156247,10.069841,165.289256,37,14,6
3295,Race_x_SES,140,7,20.0,59.147692,11.695726,169.491525,37,14,20
995,Religion,139,6,23.166667,72.133242,7.933898,156.76859,40,18,12
585,Nationality,145,6,24.166667,67.05,8.8,102.452018,40,18,12
1907,Gender_identity,134,6,22.333333,66.447853,9.228261,135.255648,47,13,11
6537,Race_x_SES,159,7,22.714286,66.330152,8.593939,131.920415,41,22,18
593,Sexual_orientation,149,8,18.625,70.126007,8.188889,122.588787,40,25,12
7749,Race_x_gender,123,6,20.5,73.330476,6.190476,115.699537,46,8,10
287,Religion,154,9,17.111111,68.459727,7.704242,187.687263,43,18,16
775,Disability_status,156,9,17.333333,73.587,7.704242,138.115393,41,18,8
3037,Age,168,10,16.8,66.847179,9.68652,162.319384,49,18,13
3727,SES,149,7,21.285714,63.516632,9.438889,117.781383,46,18,11
1729,Age,191,8,23.875,61.035806,11.630318,122.694825,39,25,15
789,Physical_appearance,113,7,16.142857,68.991828,7.574194,158.442734,35,11,11
521,Sexual_orientation,149,9,16.555556,83.8291,6.6,147.39229,38,16,14
11597,Race_x_gender,130,6,21.666667,68.778669,7.729979,120.661157,49,12,7
2419,Age,190,11,17.272727,78.562917,7.083333,109.149761,45,28,13
1973,Race_ethnicity,118,5,23.6,66.771109,6.800538,125.41184,46,9,6
1289,Nationality,137,9,15.222222,63.785138,9.122759,128.570385,32,16,16
2233,Age,161,7,23.0,68.049928,9.321739,108.163265,40,21,14
2661,Age,156,8,19.5,80.738406,6.733698,189.892434,43,17,13
191,Religion,147,7,21.0,76.328178,8.115556,138.573948,39,18,16
267,Sexual_orientation,128,8,16.0,61.220123,9.835981,144.032922,35,11,13
2445,Race_ethnicity,115,6,19.166667,63.326483,8.022451,131.195335,43,13,6
3609,Race_x_gender,133,6,22.166667,62.017279,9.805882,96.07826,52,14,5
2973,Race_ethnicity,125,8,15.625,63.320306,8.391845,116.494083,44,12,9
4419,Race_ethnicity,126,7,18.0,68.565538,9.16,97.959184,43,13,5
3105,SES,145,10,14.5,62.334941,9.399209,134.414493,47,11,9
4003,Race_ethnicity,127,7,18.142857,59.921667,10.725926,102.684959,47,12,6
691,Sexual_orientation,139,8,17.375,67.101538,9.986325,126.40046,35,15,15
201,Religion,136,7,19.428571,71.44,7.593162,182.418845,42,11,16
189,Disability_status,122,7,17.428571,62.158695,8.072923,112.795858,39,13,7
865,Nationality,116,8,14.5,76.080921,7.168421,136.71875,32,14,11
111,Religion,147,7,21.0,77.139286,7.504762,132.680265,39,16,18
1003,Age,141,7,20.142857,72.131477,7.681818,160.712981,40,15,8
569,Disability_status,130,7,18.571429,57.940387,8.514169,110.380651,41,12,10
2005,Gender_identity,133,6,22.166667,67.857632,8.619549,137.618147,48,13,10
253,Sexual_orientation,129,9,14.333333,73.00703,7.372378,149.176955,32,13,14
2431,SES,129,7,18.428571,71.425722,7.74621,166.323731,36,16,8
155,Religion,146,8,18.25,75.651378,8.435556,134.794659,43,16,13
515,Race_x_gender,122,5,24.4,68.882778,6.804535,92.147829,41,14,6
865,Disability_status,128,8,16.0,67.980556,7.729979,111.454047,36,14,11
2633,Nationality,166,11,15.090909,72.97847,6.318491,128.124344,39,15,18
1575,Physical_appearance,152,9,16.888889,65.736469,9.342072,163.160655,37,22,9
3771,Race_x_SES,138,5,27.6,62.324739,9.27001,118.497999,45,17,10
2299,Age,187,11,17.0,78.240767,7.016773,110.9375,42,28,13
3511,Race_x_gender,144,8,18.0,59.457731,8.295292,152.777778,38,19,16
4343,Race_x_SES,142,7,20.285714,64.991667,8.333333,147.530906,45,14,16
6241,Race_ethnicity,127,6,21.166667,72.216376,6.624714,104.595336,43,14,6
109,Age,142,8,17.75,77.947692,7.251282,79.000287,35,18,7
159,Race_ethnicity,127,7,18.142857,75.588333,7.392593,176.752799,42,12,8
3119,Race_x_gender,136,6,22.666667,59.559674,9.293487,75.973409,45,19,5
4101,Race_ethnicity,148,9,16.444444,63.220301,10.287473,98.876953,45,21,8
5599,Gender_identity,117,5,23.4,63.998469,9.681633,112.233446,40,12,8
4345,Race_ethnicity,134,7,19.142857,73.099143,7.337143,100.242775,44,14,8
1783,SES,139,9,15.444444,61.427959,9.485045,126.337693,48,13,10
5413,Race_x_gender,111,5,22.2,63.533763,8.004301,106.382979,44,12,8
7397,Race_x_SES,176,9,19.555556,73.385794,8.262228,163.33317,43,22,12
429,Sexual_orientation,137,8,17.125,71.95795,8.603831,140.764148,36,17,15
4563,Gender_identity,118,6,19.666667,64.7095,10.2,107.832565,40,14,8
6127,SES,134,8,16.75,68.839836,8.767788,153.893506,37,21,8
