model,prompt_type,run,n_records_total,n_valid_predictions,n_invalid_predictions,n_unknown_predictions,n_target_predictions,n_nontarget_predictions,n_manual_review_records,n_fairness_ready_records,n_aligned_examples,n_nonaligned_examples,n_fairness_prediction_records,n_biased_predictions,n_anti_biased_predictions,n_nonaligned_fairness_prediction_records,n_biased_errors,n_unbiased_success_nonaligned,accuracy_dis,accuracy_valid_only,accuracy_fairness_ready,valid_rate,invalid_rate,unknown_rate,unknown_rate_total,unknown_rate_valid_only,target_prediction_rate_total,nontarget_prediction_rate_total,manual_review_rate,accuracy_aligned,accuracy_nonaligned,accuracy_cost_bias_nonalignment,biased_answer_rate,anti_biased_answer_rate,biased_error_rate_nonaligned,unbiased_success_rate_nonaligned,sdis
gemma3_4b,attribute_early,0,380,380,0,12,189,179,0,380,188,192,368,180,188,187,23,164,0.8447368421052631,0.8447368421052631,0.8447368421052631,1.0,0.0,,0.031578947368421054,0.031578947368421054,0.49736842105263157,0.4710526315789474,0.0,0.8351063829787234,0.8541666666666666,0.019060283687943214,0.4891304347826087,0.5108695652173914,0.12299465240641712,0.8770053475935828,-0.021739130434782594
gemma3_4b,attribute_early,1,380,380,0,12,187,181,0,380,188,192,368,176,192,187,20,167,0.85,0.85,0.85,1.0,0.0,,0.031578947368421054,0.031578947368421054,0.4921052631578947,0.4763157894736842,0.0,0.8297872340425532,0.8697916666666666,0.04000443262411346,0.4782608695652174,0.5217391304347826,0.10695187165775401,0.893048128342246,-0.04347826086956519
gemma3_4b,attribute_early,2,380,380,0,12,187,181,0,380,188,192,368,176,192,187,20,167,0.85,0.85,0.85,1.0,0.0,,0.031578947368421054,0.031578947368421054,0.4921052631578947,0.4763157894736842,0.0,0.8297872340425532,0.8697916666666666,0.04000443262411346,0.4782608695652174,0.5217391304347826,0.10695187165775401,0.893048128342246,-0.04347826086956519
gemma3_4b,attribute_late,0,380,380,0,19,193,168,0,380,188,192,361,199,162,181,43,138,0.7736842105263158,0.7736842105263158,0.7736842105263158,1.0,0.0,,0.05,0.05,0.5078947368421053,0.4421052631578947,0.0,0.8297872340425532,0.71875,-0.11103723404255317,0.5512465373961218,0.4487534626038781,0.23756906077348067,0.7624309392265194,0.10249307479224368
gemma3_4b,attribute_late,1,380,380,0,19,193,168,0,380,188,192,361,199,162,181,43,138,0.7736842105263158,0.7736842105263158,0.7736842105263158,1.0,0.0,,0.05,0.05,0.5078947368421053,0.4421052631578947,0.0,0.8297872340425532,0.71875,-0.11103723404255317,0.5512465373961218,0.4487534626038781,0.23756906077348067,0.7624309392265194,0.10249307479224368
gemma3_4b,attribute_late,2,380,380,0,19,193,168,0,380,188,192,361,199,162,181,43,138,0.7736842105263158,0.7736842105263158,0.7736842105263158,1.0,0.0,,0.05,0.05,0.5078947368421053,0.4421052631578947,0.0,0.8297872340425532,0.71875,-0.11103723404255317,0.5512465373961218,0.4487534626038781,0.23756906077348067,0.7624309392265194,0.10249307479224368
gemma3_4b,baseline,0,380,380,0,11,190,179,0,380,188,192,369,185,184,186,26,160,0.8394736842105263,0.8394736842105263,0.8394736842105263,1.0,0.0,,0.02894736842105263,0.02894736842105263,0.5,0.4710526315789474,0.0,0.8457446808510638,0.8333333333333334,-0.012411347517730431,0.5013550135501355,0.4986449864498645,0.13978494623655913,0.8602150537634409,0.0027100271002709064
gemma3_4b,baseline,1,380,380,0,11,190,179,0,380,188,192,369,185,184,186,26,160,0.8394736842105263,0.8394736842105263,0.8394736842105263,1.0,0.0,,0.02894736842105263,0.02894736842105263,0.5,0.4710526315789474,0.0,0.8457446808510638,0.8333333333333334,-0.012411347517730431,0.5013550135501355,0.4986449864498645,0.13978494623655913,0.8602150537634409,0.0027100271002709064
gemma3_4b,baseline,2,380,380,0,11,190,179,0,380,188,192,369,185,184,186,26,160,0.8394736842105263,0.8394736842105263,0.8394736842105263,1.0,0.0,,0.02894736842105263,0.02894736842105263,0.5,0.4710526315789474,0.0,0.8457446808510638,0.8333333333333334,-0.012411347517730431,0.5013550135501355,0.4986449864498645,0.13978494623655913,0.8602150537634409,0.0027100271002709064
gemma3_4b,chain_of_thought,0,380,380,0,7,195,178,0,380,188,192,373,181,192,188,19,169,0.8710526315789474,0.8710526315789474,0.8710526315789474,1.0,0.0,,0.018421052631578946,0.018421052631578946,0.5131578947368421,0.46842105263157896,0.0,0.8617021276595744,0.8802083333333334,0.018506205673758935,0.48525469168900803,0.514745308310992,0.10106382978723404,0.898936170212766,-0.029490616621983934
