model,prompt_type,run,category,source_file,n_records,n_valid,n_invalid,n_unknown,n_target,n_non_target,valid_rate,invalid_rate,unknown_rate_total,unknown_rate_valid_only,target_rate_total,non_target_rate_total,accuracy,accuracy_valid_only,n_fairness_ready,n_fairness_predictions,n_aligned,n_nonaligned,accuracy_aligned,accuracy_nonaligned,accuracy_cost_bias_nonalignment,n_biased,n_anti_biased,biased_answer_rate,anti_biased_answer_rate,n_nonaligned_fairness_predictions,n_biased_errors,n_unbiased_success_nonaligned,biased_error_rate_nonaligned,unbiased_success_rate_nonaligned,sdis
llama3.1_8b,attribute_early,0,Age,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_analysis_ready.json,35,35,0,2,17,16,1.0,0.0,0.05714285714285714,0.05714285714285714,0.4857142857142857,0.45714285714285713,0.6857142857142857,0.6857142857142857,35,33,21,14,0.6190476190476191,0.7857142857142857,0.16666666666666663,15,18,0.45454545454545453,0.5454545454545454,13,2,11,0.15384615384615385,0.8461538461538461,-0.09090909090909094
llama3.1_8b,attribute_early,1,Age,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_1_analysis_ready.json,35,35,0,2,16,17,1.0,0.0,0.05714285714285714,0.05714285714285714,0.45714285714285713,0.4857142857142857,0.7142857142857143,0.7142857142857143,35,33,21,14,0.6666666666666666,0.7857142857142857,0.11904761904761907,16,17,0.48484848484848486,0.5151515151515151,13,2,11,0.15384615384615385,0.8461538461538461,-0.030303030303030276
llama3.1_8b,attribute_early,2,Age,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_2_analysis_ready.json,35,35,0,2,16,17,1.0,0.0,0.05714285714285714,0.05714285714285714,0.45714285714285713,0.4857142857142857,0.7142857142857143,0.7142857142857143,35,33,21,14,0.6666666666666666,0.7857142857142857,0.11904761904761907,16,17,0.48484848484848486,0.5151515151515151,13,2,11,0.15384615384615385,0.8461538461538461,-0.030303030303030276
llama3.1_8b,attribute_early,0,Disability_status,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_analysis_ready.json,35,35,0,1,24,10,1.0,0.0,0.02857142857142857,0.02857142857142857,0.6857142857142857,0.2857142857142857,0.8285714285714286,0.8285714285714286,35,34,19,16,0.8947368421052632,0.75,-0.14473684210526316,21,13,0.6176470588235294,0.38235294117647056,16,4,12,0.25,0.75,0.23529411764705888
llama3.1_8b,attribute_early,1,Disability_status,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_1_analysis_ready.json,35,35,0,1,24,10,1.0,0.0,0.02857142857142857,0.02857142857142857,0.6857142857142857,0.2857142857142857,0.8285714285714286,0.8285714285714286,35,34,19,16,0.8947368421052632,0.75,-0.14473684210526316,21,13,0.6176470588235294,0.38235294117647056,16,4,12,0.25,0.75,0.23529411764705888
llama3.1_8b,attribute_early,2,Disability_status,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_2_analysis_ready.json,35,35,0,1,24,10,1.0,0.0,0.02857142857142857,0.02857142857142857,0.6857142857142857,0.2857142857142857,0.8285714285714286,0.8285714285714286,35,34,19,16,0.8947368421052632,0.75,-0.14473684210526316,21,13,0.6176470588235294,0.38235294117647056,16,4,12,0.25,0.75,0.23529411764705888
llama3.1_8b,attribute_early,0,Gender_identity,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_analysis_ready.json,35,34,1,3,13,18,0.9714285714285714,0.02857142857142857,0.08571428571428572,0.08823529411764706,0.37142857142857144,0.5142857142857142,0.8285714285714286,0.8529411764705882,35,31,15,20,0.6666666666666666,0.95,0.2833333333333333,10,21,0.3225806451612903,0.6774193548387096,19,0,19,0.0,1.0,-0.3548387096774194
llama3.1_8b,attribute_early,1,Gender_identity,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_1_analysis_ready.json,35,34,1,3,13,18,0.9714285714285714,0.02857142857142857,0.08571428571428572,0.08823529411764706,0.37142857142857144,0.5142857142857142,0.8285714285714286,0.8529411764705882,35,31,15,20,0.6666666666666666,0.95,0.2833333333333333,10,21,0.3225806451612903,0.6774193548387096,19,0,19,0.0,1.0,-0.3548387096774194
llama3.1_8b,attribute_early,2,Gender_identity,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_2_analysis_ready.json,35,34,1,3,13,18,0.9714285714285714,0.02857142857142857,0.08571428571428572,0.08823529411764706,0.37142857142857144,0.5142857142857142,0.8285714285714286,0.8529411764705882,35,31,15,20,0.6666666666666666,0.95,0.2833333333333333,10,21,0.3225806451612903,0.6774193548387096,19,0,19,0.0,1.0,-0.3548387096774194
llama3.1_8b,attribute_early,0,Nationality,experiments\evaluations\llama3.1_8b\attribute_early\analysis_ready\attribute_early_mutants_cleaned_results_analysis_ready.json,35,31,4,0,18,13,0.8857142857142857,0.11428571428571428,0.0,0.0,0.5142857142857142,0.37142857142857144,0.8285714285714286,0.9354838709677419,35,31,16,19,0.8125,0.8421052631578947,0.02960526315789469,14,17,0.45161290322580644,0.5483870967741935,17,1,16,0.058823529411764705,0.9411764705882353,-0.09677419354838712
