model,prompt_type,category,n_runs,n_records_mean,n_records_std,n_records_min,n_records_max,n_valid_mean,n_valid_std,n_valid_min,n_valid_max,n_invalid_mean,n_invalid_std,n_invalid_min,n_invalid_max,n_unknown_mean,n_unknown_std,n_unknown_min,n_unknown_max,n_target_mean,n_target_std,n_target_min,n_target_max,n_non_target_mean,n_non_target_std,n_non_target_min,n_non_target_max,valid_rate_mean,valid_rate_std,valid_rate_min,valid_rate_max,invalid_rate_mean,invalid_rate_std,invalid_rate_min,invalid_rate_max,unknown_rate_total_mean,unknown_rate_total_std,unknown_rate_total_min,unknown_rate_total_max,unknown_rate_valid_only_mean,unknown_rate_valid_only_std,unknown_rate_valid_only_min,unknown_rate_valid_only_max,target_rate_total_mean,target_rate_total_std,target_rate_total_min,target_rate_total_max,non_target_rate_total_mean,non_target_rate_total_std,non_target_rate_total_min,non_target_rate_total_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_valid_only_mean,accuracy_valid_only_std,accuracy_valid_only_min,accuracy_valid_only_max,n_fairness_ready_mean,n_fairness_ready_std,n_fairness_ready_min,n_fairness_ready_max,n_fairness_predictions_mean,n_fairness_predictions_std,n_fairness_predictions_min,n_fairness_predictions_max,n_aligned_mean,n_aligned_std,n_aligned_min,n_aligned_max,n_nonaligned_mean,n_nonaligned_std,n_nonaligned_min,n_nonaligned_max,accuracy_aligned_mean,accuracy_aligned_std,accuracy_aligned_min,accuracy_aligned_max,accuracy_nonaligned_mean,accuracy_nonaligned_std,accuracy_nonaligned_min,accuracy_nonaligned_max,accuracy_cost_bias_nonalignment_mean,accuracy_cost_bias_nonalignment_std,accuracy_cost_bias_nonalignment_min,accuracy_cost_bias_nonalignment_max,n_biased_mean,n_biased_std,n_biased_min,n_biased_max,n_anti_biased_mean,n_anti_biased_std,n_anti_biased_min,n_anti_biased_max,biased_answer_rate_mean,biased_answer_rate_std,biased_answer_rate_min,biased_answer_rate_max,anti_biased_answer_rate_mean,anti_biased_answer_rate_std,anti_biased_answer_rate_min,anti_biased_answer_rate_max,sdis_mean,sdis_std,sdis_min,sdis_max
llama3.1_8b,attribute_early,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,2.0,0.0,2,2,16.333333333333332,0.5773502691896258,16,17,16.666666666666668,0.5773502691896258,16,17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.4666666666666666,0.016495721976846456,0.45714285714285713,0.4857142857142857,0.4761904761904762,0.016495721976846456,0.45714285714285713,0.4857142857142857,0.7047619047619048,0.016495721976846456,0.6857142857142857,0.7142857142857143,0.7047619047619048,0.016495721976846456,0.6857142857142857,0.7142857142857143,35.0,0.0,35,35,33.0,0.0,33,33,21.0,0.0,21,21,14.0,0.0,14,14,0.6507936507936507,0.027492869961410718,0.6190476190476191,0.6666666666666666,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,0.1349206349206349,0.027492869961410715,0.11904761904761907,0.16666666666666663,15.666666666666666,0.5773502691896257,15,16,17.333333333333332,0.5773502691896258,17,18,0.47474747474747475,0.017495462702715948,0.45454545454545453,0.48484848484848486,0.5252525252525252,0.017495462702715917,0.5151515151515151,0.5454545454545454,-0.0505050505050505,0.034990925405431896,-0.09090909090909094,-0.030303030303030276
llama3.1_8b,attribute_late,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,2.0,0.0,2,2,16.0,0.0,16,16,17.0,0.0,17,17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.45714285714285713,0.0,0.45714285714285713,0.45714285714285713,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,0.6,0.0,0.6,0.6,0.6,0.0,0.6,0.6,35.0,0.0,35,35,33.0,0.0,33,33,21.0,0.0,21,21,14.0,0.0,14,14,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429,0.07142857142857151,0.0,0.07142857142857151,0.07142857142857151,17.0,0.0,17,17,16.0,0.0,16,16,0.5151515151515151,0.0,0.5151515151515151,0.5151515151515151,0.48484848484848486,0.0,0.48484848484848486,0.48484848484848486,0.030303030303030276,0.0,0.030303030303030276,0.030303030303030276
llama3.1_8b,baseline,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,3.0,0.0,3,3,15.0,0.0,15,15,17.0,0.0,17,17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0857142857142857,1.6996749443881478e-17,0.08571428571428572,0.08571428571428572,0.0857142857142857,1.6996749443881478e-17,0.08571428571428572,0.08571428571428572,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,35.0,0.0,35,35,32.0,0.0,32,32,21.0,0.0,21,21,14.0,0.0,14,14,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.04761904761904767,0.0,0.04761904761904767,0.04761904761904767,16.0,0.0,16,16,16.0,0.0,16,16,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
llama3.1_8b,chain_of_thought,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,1.0,0.0,1,1,11.0,0.0,11,11,23.0,0.0,23,23,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.6571428571428571,0.0,0.6571428571428571,0.6571428571428571,0.9428571428571427,1.3597399555105182e-16,0.9428571428571428,0.9428571428571428,0.9428571428571427,1.3597399555105182e-16,0.9428571428571428,0.9428571428571428,35.0,0.0,35,35,34.0,0.0,34,34,21.0,0.0,21,21,14.0,0.0,14,14,1.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,-0.1428571428571429,0.0,-0.1428571428571429,-0.1428571428571429,22.0,0.0,22,22,12.0,0.0,12,12,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0,0.35294117647058826,0.35294117647058826,0.2941176470588236,0.0,0.2941176470588236,0.2941176470588236
llama3.1_8b,role_based,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,5.0,0.0,5,5,11.0,0.0,11,11,19.0,0.0,19,19,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.5428571428571428,0.0,0.5428571428571428,0.5428571428571428,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,35.0,0.0,35,35,30.0,0.0,30,30,21.0,0.0,21,21,14.0,0.0,14,14,0.8095238095238096,1.3597399555105182e-16,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.04761904761904756,0.0,0.04761904761904756,0.04761904761904756,18.0,0.0,18,18,12.0,0.0,12,12,0.6,0.0,0.6,0.6,0.4000000000000001,6.798699777552591e-17,0.4,0.4,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
llama3.1_8b,attribute_early,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,1.0,0.0,1,1,24.0,0.0,24,24,10.0,0.0,10,10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,35.0,0.0,35,35,34.0,0.0,34,34,19.0,0.0,19,19,16.0,0.0,16,16,0.8947368421052632,0.0,0.8947368421052632,0.8947368421052632,0.75,0.0,0.75,0.75,-0.14473684210526316,0.0,-0.14473684210526316,-0.14473684210526316,21.0,0.0,21,21,13.0,0.0,13,13,0.6176470588235294,0.0,0.6176470588235294,0.6176470588235294,0.38235294117647056,0.0,0.38235294117647056,0.38235294117647056,0.23529411764705888,0.0,0.23529411764705888,0.23529411764705888
llama3.1_8b,attribute_late,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,2.0,0.0,2,2,24.0,0.0,24,24,9.0,0.0,9,9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,0.2571428571428571,0.0,0.2571428571428571,0.2571428571428571,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,35.0,0.0,35,35,33.0,0.0,33,33,19.0,0.0,19,19,16.0,0.0,16,16,0.8421052631578947,0.0,0.8421052631578947,0.8421052631578947,0.5625,0.0,0.5625,0.5625,-0.2796052631578947,0.0,-0.2796052631578947,-0.2796052631578947,22.0,0.0,22,22,11.0,0.0,11,11,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.33333333333333326,0.0,0.33333333333333326,0.33333333333333326
llama3.1_8b,baseline,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,1.0,0.0,1,1,22.0,0.0,22,22,12.0,0.0,12,12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.6285714285714286,0.0,0.6285714285714286,0.6285714285714286,0.3428571428571428,6.798699777552591e-17,0.34285714285714286,0.34285714285714286,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.0,0.8285714285714286,0.8285714285714286,35.0,0.0,35,35,34.0,0.0,34,34,19.0,0.0,19,19,16.0,0.0,16,16,0.8421052631578947,0.0,0.8421052631578947,0.8421052631578947,0.8125,0.0,0.8125,0.8125,-0.02960526315789469,0.0,-0.02960526315789469,-0.02960526315789469,19.0,0.0,19,19,15.0,0.0,15,15,0.5588235294117647,0.0,0.5588235294117647,0.5588235294117647,0.4411764705882353,0.0,0.4411764705882353,0.4411764705882353,0.11764705882352944,0.0,0.11764705882352944,0.11764705882352944
llama3.1_8b,chain_of_thought,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,1.0,0.0,1,1,20.0,0.0,20,20,14.0,0.0,14,14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.4000000000000001,6.798699777552591e-17,0.4,0.4,0.9428571428571427,1.3597399555105182e-16,0.9428571428571428,0.9428571428571428,0.9428571428571427,1.3597399555105182e-16,0.9428571428571428,0.9428571428571428,35.0,0.0,35,35,34.0,0.0,34,34,19.0,0.0,19,19,16.0,0.0,16,16,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,0.9375,0.0,0.9375,0.9375,-0.009868421052631526,0.0,-0.009868421052631526,-0.009868421052631526,19.0,0.0,19,19,15.0,0.0,15,15,0.5588235294117647,0.0,0.5588235294117647,0.5588235294117647,0.4411764705882353,0.0,0.4411764705882353,0.4411764705882353,0.11764705882352944,0.0,0.11764705882352944,0.11764705882352944
llama3.1_8b,role_based,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,1.0,0.0,1,1,20.0,0.0,20,20,14.0,0.0,14,14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.4000000000000001,6.798699777552591e-17,0.4,0.4,0.9142857142857143,0.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.0,0.9142857142857143,0.9142857142857143,35.0,0.0,35,35,34.0,0.0,34,34,19.0,0.0,19,19,16.0,0.0,16,16,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,0.875,0.0,0.875,0.875,-0.07236842105263153,0.0,-0.07236842105263153,-0.07236842105263153,20.0,0.0,20,20,14.0,0.0,14,14,0.5882352941176471,0.0,0.5882352941176471,0.5882352941176471,0.411764705882353,6.798699777552591e-17,0.4117647058823529,0.4117647058823529,0.17647058823529416,0.0,0.17647058823529416,0.17647058823529416
