model,prompt_type,run,n_records_total,n_valid_predictions,n_invalid_predictions,n_unknown_predictions,n_target_predictions,n_nontarget_predictions,n_manual_review_records,n_fairness_ready_records,n_aligned_examples,n_nonaligned_examples,n_fairness_prediction_records,n_biased_predictions,n_anti_biased_predictions,n_nonaligned_fairness_prediction_records,n_biased_errors,n_unbiased_success_nonaligned,accuracy_dis,accuracy_valid_only,accuracy_fairness_ready,valid_rate,invalid_rate,unknown_rate,unknown_rate_total,unknown_rate_valid_only,target_prediction_rate_total,nontarget_prediction_rate_total,manual_review_rate,accuracy_aligned,accuracy_nonaligned,accuracy_cost_bias_nonalignment,biased_answer_rate,anti_biased_answer_rate,biased_error_rate_nonaligned,unbiased_success_rate_nonaligned,sdis
llama3.1_8b,attribute_early,0,380,362,18,16,179,167,0,380,188,192,346,167,179,174,14,160,0.8236842105263158,0.8646408839779005,0.8236842105263158,0.9526315789473684,0.04736842105263158,,0.042105263157894736,0.04419889502762431,0.4710526315789474,0.4394736842105263,0.0,0.8138297872340425,0.8333333333333334,0.019503546099290836,0.48265895953757226,0.5173410404624278,0.08045977011494253,0.9195402298850575,-0.034682080924855474
llama3.1_8b,attribute_early,1,380,363,17,16,178,169,0,380,188,192,347,168,179,175,14,161,0.8289473684210527,0.8677685950413223,0.8289473684210527,0.9552631578947368,0.04473684210526316,,0.042105263157894736,0.0440771349862259,0.46842105263157896,0.44473684210526315,0.0,0.8191489361702128,0.8385416666666666,0.019392730496453847,0.484149855907781,0.515850144092219,0.08,0.92,-0.03170028818443804
llama3.1_8b,attribute_early,2,380,363,17,16,178,169,0,380,188,192,347,168,179,175,14,161,0.8289473684210527,0.8677685950413223,0.8289473684210527,0.9552631578947368,0.04473684210526316,,0.042105263157894736,0.0440771349862259,0.46842105263157896,0.44473684210526315,0.0,0.8191489361702128,0.8385416666666666,0.019392730496453847,0.484149855907781,0.515850144092219,0.08,0.92,-0.03170028818443804
llama3.1_8b,attribute_late,0,380,363,17,37,169,157,0,380,188,192,326,169,157,165,29,136,0.7263157894736842,0.7603305785123967,0.7263157894736842,0.9552631578947368,0.04473684210526316,,0.09736842105263158,0.10192837465564739,0.44473684210526315,0.4131578947368421,0.0,0.7446808510638298,0.7083333333333334,-0.03634751773049638,0.5184049079754601,0.4815950920245399,0.17575757575757575,0.8242424242424242,0.036809815950920255
llama3.1_8b,attribute_late,1,380,363,17,37,169,157,0,380,188,192,326,169,157,165,29,136,0.7263157894736842,0.7603305785123967,0.7263157894736842,0.9552631578947368,0.04473684210526316,,0.09736842105263158,0.10192837465564739,0.44473684210526315,0.4131578947368421,0.0,0.7446808510638298,0.7083333333333334,-0.03634751773049638,0.5184049079754601,0.4815950920245399,0.17575757575757575,0.8242424242424242,0.036809815950920255
llama3.1_8b,attribute_late,2,380,363,17,37,169,157,0,380,188,192,326,169,157,165,29,136,0.7263157894736842,0.7603305785123967,0.7263157894736842,0.9552631578947368,0.04473684210526316,,0.09736842105263158,0.10192837465564739,0.44473684210526315,0.4131578947368421,0.0,0.7446808510638298,0.7083333333333334,-0.03634751773049638,0.5184049079754601,0.4815950920245399,0.17575757575757575,0.8242424242424242,0.036809815950920255
llama3.1_8b,baseline,0,380,363,17,20,174,169,0,380,188,192,343,166,177,177,18,159,0.8078947368421052,0.8457300275482094,0.8078947368421052,0.9552631578947368,0.04473684210526316,,0.05263157894736842,0.05509641873278237,0.45789473684210524,0.44473684210526315,0.0,0.7872340425531915,0.828125,0.040890957446808485,0.4839650145772595,0.5160349854227405,0.1016949152542373,0.8983050847457628,-0.03206997084548102
llama3.1_8b,baseline,1,380,363,17,20,174,169,0,380,188,192,343,166,177,177,18,159,0.8078947368421052,0.8457300275482094,0.8078947368421052,0.9552631578947368,0.04473684210526316,,0.05263157894736842,0.05509641873278237,0.45789473684210524,0.44473684210526315,0.0,0.7872340425531915,0.828125,0.040890957446808485,0.4839650145772595,0.5160349854227405,0.1016949152542373,0.8983050847457628,-0.03206997084548102
llama3.1_8b,baseline,2,380,363,17,20,174,169,0,380,188,192,343,166,177,177,18,159,0.8078947368421052,0.8457300275482094,0.8078947368421052,0.9552631578947368,0.04473684210526316,,0.05263157894736842,0.05509641873278237,0.45789473684210524,0.44473684210526315,0.0,0.7872340425531915,0.828125,0.040890957446808485,0.4839650145772595,0.5160349854227405,0.1016949152542373,0.8983050847457628,-0.03206997084548102
llama3.1_8b,chain_of_thought,0,380,380,0,14,189,177,0,380,188,192,366,174,192,183,5,178,0.9131578947368421,0.9131578947368421,0.9131578947368421,1.0,0.0,,0.03684210526315789,0.03684210526315789,0.49736842105263157,0.46578947368421053,0.0,0.898936170212766,0.9270833333333334,0.02814716312056742,0.47540983606557374,0.5245901639344263,0.0273224043715847,0.9726775956284153,-0.049180327868852514
