model,prompt_type,category,n_runs,n_records_mean,n_records_std,n_records_min,n_records_max,n_valid_mean,n_valid_std,n_valid_min,n_valid_max,n_invalid_mean,n_invalid_std,n_invalid_min,n_invalid_max,n_unknown_mean,n_unknown_std,n_unknown_min,n_unknown_max,n_target_mean,n_target_std,n_target_min,n_target_max,n_non_target_mean,n_non_target_std,n_non_target_min,n_non_target_max,valid_rate_mean,valid_rate_std,valid_rate_min,valid_rate_max,invalid_rate_mean,invalid_rate_std,invalid_rate_min,invalid_rate_max,unknown_rate_total_mean,unknown_rate_total_std,unknown_rate_total_min,unknown_rate_total_max,unknown_rate_valid_only_mean,unknown_rate_valid_only_std,unknown_rate_valid_only_min,unknown_rate_valid_only_max,target_rate_total_mean,target_rate_total_std,target_rate_total_min,target_rate_total_max,non_target_rate_total_mean,non_target_rate_total_std,non_target_rate_total_min,non_target_rate_total_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_valid_only_mean,accuracy_valid_only_std,accuracy_valid_only_min,accuracy_valid_only_max,n_fairness_ready_mean,n_fairness_ready_std,n_fairness_ready_min,n_fairness_ready_max,n_fairness_predictions_mean,n_fairness_predictions_std,n_fairness_predictions_min,n_fairness_predictions_max,n_aligned_mean,n_aligned_std,n_aligned_min,n_aligned_max,n_nonaligned_mean,n_nonaligned_std,n_nonaligned_min,n_nonaligned_max,accuracy_aligned_mean,accuracy_aligned_std,accuracy_aligned_min,accuracy_aligned_max,accuracy_nonaligned_mean,accuracy_nonaligned_std,accuracy_nonaligned_min,accuracy_nonaligned_max,accuracy_cost_bias_nonalignment_mean,accuracy_cost_bias_nonalignment_std,accuracy_cost_bias_nonalignment_min,accuracy_cost_bias_nonalignment_max,n_biased_mean,n_biased_std,n_biased_min,n_biased_max,n_anti_biased_mean,n_anti_biased_std,n_anti_biased_min,n_anti_biased_max,biased_answer_rate_mean,biased_answer_rate_std,biased_answer_rate_min,biased_answer_rate_max,anti_biased_answer_rate_mean,anti_biased_answer_rate_std,anti_biased_answer_rate_min,anti_biased_answer_rate_max,n_nonaligned_fairness_predictions_mean,n_nonaligned_fairness_predictions_std,n_nonaligned_fairness_predictions_min,n_nonaligned_fairness_predictions_max,n_biased_errors_mean,n_biased_errors_std,n_biased_errors_min,n_biased_errors_max,n_unbiased_success_nonaligned_mean,n_unbiased_success_nonaligned_std,n_unbiased_success_nonaligned_min,n_unbiased_success_nonaligned_max,biased_error_rate_nonaligned_mean,biased_error_rate_nonaligned_std,biased_error_rate_nonaligned_min,biased_error_rate_nonaligned_max,unbiased_success_rate_nonaligned_mean,unbiased_success_rate_nonaligned_std,unbiased_success_rate_nonaligned_min,unbiased_success_rate_nonaligned_max,sdis_mean,sdis_std,sdis_min,sdis_max
qwen2.5_7b,attribute_early,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,12.0,0.0,12,12,10.0,0.0,10,10,13.0,0.0,13,13,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3428571428571428,6.798699777552591e-17,0.34285714285714286,0.34285714285714286,0.3428571428571428,6.798699777552591e-17,0.34285714285714286,0.34285714285714286,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.37142857142857144,0.0,0.37142857142857144,0.37142857142857144,0.6,0.0,0.6,0.6,0.6,0.0,0.6,0.6,35.0,0.0,35,35,23.0,0.0,23,23,21.0,0.0,21,21,14.0,0.0,14,14,0.5238095238095238,0.0,0.5238095238095238,0.5238095238095238,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,11.0,0.0,11,11,12.0,0.0,12,12,0.47826086956521746,6.798699777552591e-17,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.0,0.5217391304347826,0.5217391304347826,10.0,0.0,10,10,0.0,0.0,0,0,10.0,0.0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.04347826086956519,0.0,-0.04347826086956519,-0.04347826086956519
qwen2.5_7b,attribute_late,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,13.0,0.0,13,13,11.0,0.0,11,11,11.0,0.0,11,11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,0.37142857142857144,0.37142857142857144,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,35.0,0.0,35,35,22.0,0.0,22,22,21.0,0.0,21,21,14.0,0.0,14,14,0.4761904761904761,6.798699777552591e-17,0.47619047619047616,0.47619047619047616,0.5,0.0,0.5,0.5,0.023809523809523836,0.0,0.023809523809523836,0.023809523809523836,12.0,0.0,12,12,10.0,0.0,10,10,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,9.0,0.0,9,9,2.0,0.0,2,2,7.0,0.0,7,7,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.09090909090909083,0.0,0.09090909090909083,0.09090909090909083
qwen2.5_7b,baseline,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,13.0,0.0,13,13,8.0,0.0,8,8,14.0,0.0,14,14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,0.37142857142857144,0.37142857142857144,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.4000000000000001,6.798699777552591e-17,0.4,0.4,0.6,0.0,0.6,0.6,0.6,0.0,0.6,0.6,35.0,0.0,35,35,22.0,0.0,22,22,21.0,0.0,21,21,14.0,0.0,14,14,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429,0.07142857142857151,0.0,0.07142857142857151,0.07142857142857151,12.0,0.0,12,12,10.0,0.0,10,10,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,9.0,0.0,9,9,0.0,0.0,0,0,9.0,0.0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.09090909090909083,0.0,0.09090909090909083,0.09090909090909083
qwen2.5_7b,chain_of_thought,Age,3,35.0,0.0,35,35,28.0,0.0,28,28,7.0,0.0,7,7,3.0,0.0,3,3,11.0,0.0,11,11,14.0,0.0,14,14,0.8000000000000002,1.3597399555105182e-16,0.8,0.8,0.20000000000000004,3.3993498887762956e-17,0.2,0.2,0.0857142857142857,1.6996749443881478e-17,0.08571428571428572,0.08571428571428572,0.10714285714285714,0.0,0.10714285714285714,0.10714285714285714,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.4000000000000001,6.798699777552591e-17,0.4,0.4,0.6285714285714286,0.0,0.6285714285714286,0.6285714285714286,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,35.0,0.0,35,35,25.0,0.0,25,25,21.0,0.0,21,21,14.0,0.0,14,14,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.5,0.0,0.5,0.5,-0.2142857142857143,0.0,-0.2142857142857143,-0.2142857142857143,16.0,0.0,16,16,9.0,0.0,9,9,0.64,0.0,0.64,0.64,0.36000000000000004,6.798699777552591e-17,0.36,0.36,8.0,0.0,8,8,1.0,0.0,1,1,7.0,0.0,7,7,0.125,0.0,0.125,0.125,0.875,0.0,0.875,0.875,0.28,0.0,0.28,0.28
qwen2.5_7b,role_based,Age,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,10.0,0.0,10,10,8.0,0.0,8,8,17.0,0.0,17,17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,35.0,0.0,35,35,25.0,0.0,25,25,21.0,0.0,21,21,14.0,0.0,14,14,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.04761904761904767,0.0,0.04761904761904767,0.04761904761904767,15.0,0.0,15,15,10.0,0.0,10,10,0.6,0.0,0.6,0.6,0.4000000000000001,6.798699777552591e-17,0.4,0.4,11.0,0.0,11,11,1.0,0.0,1,1,10.0,0.0,10,10,0.0909090909090909,1.6996749443881478e-17,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
qwen2.5_7b,attribute_early,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,8.0,0.0,8,8,17.0,0.0,17,17,10.0,0.0,10,10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.4857142857142857,0.0,0.4857142857142857,0.4857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,35.0,0.0,35,35,27.0,0.0,27,27,19.0,0.0,19,19,16.0,0.0,16,16,0.7368421052631579,0.0,0.7368421052631579,0.7368421052631579,0.6875,0.0,0.6875,0.6875,-0.049342105263157854,0.0,-0.049342105263157854,-0.049342105263157854,15.0,0.0,15,15,12.0,0.0,12,12,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,12.0,0.0,12,12,1.0,0.0,1,1,11.0,0.0,11,11,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116
qwen2.5_7b,attribute_late,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,8.0,0.0,8,8,19.0,0.0,19,19,8.0,0.0,8,8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.5428571428571428,0.0,0.5428571428571428,0.5428571428571428,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,35.0,0.0,35,35,27.0,0.0,27,27,19.0,0.0,19,19,16.0,0.0,16,16,0.7368421052631579,0.0,0.7368421052631579,0.7368421052631579,0.6875,0.0,0.6875,0.6875,-0.049342105263157854,0.0,-0.049342105263157854,-0.049342105263157854,15.0,0.0,15,15,12.0,0.0,12,12,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,12.0,0.0,12,12,1.0,0.0,1,1,11.0,0.0,11,11,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116
qwen2.5_7b,baseline,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,8.0,0.0,8,8,19.0,0.0,19,19,8.0,0.0,8,8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.5428571428571428,0.0,0.5428571428571428,0.5428571428571428,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,35.0,0.0,35,35,27.0,0.0,27,27,19.0,0.0,19,19,16.0,0.0,16,16,0.7894736842105262,1.3597399555105182e-16,0.7894736842105263,0.7894736842105263,0.625,0.0,0.625,0.625,-0.16447368421052633,0.0,-0.16447368421052633,-0.16447368421052633,16.0,0.0,16,16,11.0,0.0,11,11,0.5925925925925926,0.0,0.5925925925925926,0.5925925925925926,0.4074074074074074,0.0,0.4074074074074074,0.4074074074074074,11.0,0.0,11,11,1.0,0.0,1,1,10.0,0.0,10,10,0.0909090909090909,1.6996749443881478e-17,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.18518518518518512,0.0,0.18518518518518512,0.18518518518518512
qwen2.5_7b,chain_of_thought,Disability_status,3,35.0,0.0,35,35,31.0,0.0,31,31,4.0,0.0,4,4,0.0,0.0,0,0,20.0,0.0,20,20,11.0,0.0,11,11,0.8857142857142857,0.0,0.8857142857142857,0.8857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.3142857142857143,0.0,0.3142857142857143,0.3142857142857143,0.8000000000000002,1.3597399555105182e-16,0.8,0.8,0.9032258064516129,0.0,0.9032258064516129,0.9032258064516129,35.0,0.0,35,35,31.0,0.0,31,31,19.0,0.0,19,19,16.0,0.0,16,16,0.8421052631578947,0.0,0.8421052631578947,0.8421052631578947,0.75,0.0,0.75,0.75,-0.09210526315789469,0.0,-0.09210526315789469,-0.09210526315789469,19.0,0.0,19,19,12.0,0.0,12,12,0.6129032258064516,0.0,0.6129032258064516,0.6129032258064516,0.3870967741935483,6.798699777552591e-17,0.3870967741935484,0.3870967741935484,15.0,0.0,15,15,3.0,0.0,3,3,12.0,0.0,12,12,0.20000000000000004,3.3993498887762956e-17,0.2,0.2,0.8000000000000002,1.3597399555105182e-16,0.8,0.8,0.22580645161290325,0.0,0.22580645161290325,0.22580645161290325
qwen2.5_7b,role_based,Disability_status,3,35.0,0.0,35,35,35.0,0.0,35,35,0.0,0.0,0,0,9.0,0.0,9,9,18.0,0.0,18,18,8.0,0.0,8,8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,0.2571428571428571,0.2571428571428571,0.5142857142857142,0.0,0.5142857142857142,0.5142857142857142,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,0.6857142857142856,1.3597399555105182e-16,0.6857142857142857,0.6857142857142857,35.0,0.0,35,35,26.0,0.0,26,26,19.0,0.0,19,19,16.0,0.0,16,16,0.7368421052631579,0.0,0.7368421052631579,0.7368421052631579,0.625,0.0,0.625,0.625,-0.11184210526315785,0.0,-0.11184210526315785,-0.11184210526315785,15.0,0.0,15,15,11.0,0.0,11,11,0.5769230769230769,0.0,0.5769230769230769,0.5769230769230769,0.4230769230769231,0.0,0.4230769230769231,0.4230769230769231,11.0,0.0,11,11,1.0,0.0,1,1,10.0,0.0,10,10,0.0909090909090909,1.6996749443881478e-17,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.15384615384615374,0.0,0.15384615384615374,0.15384615384615374
