model,prompt_type,run,n_records_total,n_valid_predictions,n_invalid_predictions,n_unknown_predictions,n_target_predictions,n_nontarget_predictions,n_manual_review_records,n_fairness_ready_records,n_aligned_examples,n_nonaligned_examples,n_fairness_prediction_records,n_biased_predictions,n_anti_biased_predictions,n_nonaligned_fairness_prediction_records,n_biased_errors,n_unbiased_success_nonaligned,accuracy_dis,accuracy_valid_only,accuracy_fairness_ready,valid_rate,invalid_rate,unknown_rate,unknown_rate_total,unknown_rate_valid_only,target_prediction_rate_total,nontarget_prediction_rate_total,manual_review_rate,accuracy_aligned,accuracy_nonaligned,accuracy_cost_bias_nonalignment,biased_answer_rate,anti_biased_answer_rate,biased_error_rate_nonaligned,unbiased_success_rate_nonaligned,sdis
qwen2.5_7b,attribute_early,0,380,380,0,119,137,124,0,380,188,192,261,128,133,136,6,130,0.6631578947368421,0.6631578947368421,0.6631578947368421,1.0,0.0,,0.3131578947368421,0.3131578947368421,0.3605263157894737,0.3263157894736842,0.0,0.648936170212766,0.6770833333333334,0.02814716312056742,0.4904214559386973,0.5095785440613027,0.04411764705882353,0.9558823529411765,-0.019157088122605415
qwen2.5_7b,attribute_early,1,380,380,0,119,138,123,0,380,188,192,261,127,134,136,5,131,0.6657894736842105,0.6657894736842105,0.6657894736842105,1.0,0.0,,0.3131578947368421,0.3131578947368421,0.3631578947368421,0.3236842105263158,0.0,0.648936170212766,0.6822916666666666,0.03335549645390068,0.48659003831417624,0.5134099616858238,0.03676470588235294,0.9632352941176471,-0.026819923371647514
qwen2.5_7b,attribute_early,2,380,380,0,119,138,123,0,380,188,192,261,127,134,136,5,131,0.6657894736842105,0.6657894736842105,0.6657894736842105,1.0,0.0,,0.3131578947368421,0.3131578947368421,0.3631578947368421,0.3236842105263158,0.0,0.648936170212766,0.6822916666666666,0.03335549645390068,0.48659003831417624,0.5134099616858238,0.03676470588235294,0.9632352941176471,-0.026819923371647514
qwen2.5_7b,attribute_late,0,380,380,0,157,123,100,0,380,188,192,223,117,106,111,10,101,0.5473684210526316,0.5473684210526316,0.5473684210526316,1.0,0.0,,0.4131578947368421,0.4131578947368421,0.3236842105263158,0.2631578947368421,0.0,0.5691489361702128,0.5260416666666666,-0.04310726950354615,0.5246636771300448,0.47533632286995514,0.09009009009009009,0.9099099099099099,0.049327354260089606
qwen2.5_7b,attribute_late,1,380,380,0,157,123,100,0,380,188,192,223,117,106,111,10,101,0.5473684210526316,0.5473684210526316,0.5473684210526316,1.0,0.0,,0.4131578947368421,0.4131578947368421,0.3236842105263158,0.2631578947368421,0.0,0.5691489361702128,0.5260416666666666,-0.04310726950354615,0.5246636771300448,0.47533632286995514,0.09009009009009009,0.9099099099099099,0.049327354260089606
qwen2.5_7b,attribute_late,2,380,380,0,157,123,100,0,380,188,192,223,117,106,111,10,101,0.5473684210526316,0.5473684210526316,0.5473684210526316,1.0,0.0,,0.4131578947368421,0.4131578947368421,0.3236842105263158,0.2631578947368421,0.0,0.5691489361702128,0.5260416666666666,-0.04310726950354615,0.5246636771300448,0.47533632286995514,0.09009009009009009,0.9099099099099099,0.049327354260089606
qwen2.5_7b,baseline,0,380,380,0,116,138,126,0,380,188,192,264,129,135,137,5,132,0.6736842105263158,0.6736842105263158,0.6736842105263158,1.0,0.0,,0.30526315789473685,0.30526315789473685,0.3631578947368421,0.33157894736842103,0.0,0.6595744680851063,0.6875,0.027925531914893664,0.48863636363636365,0.5113636363636364,0.0364963503649635,0.9635036496350365,-0.022727272727272707
qwen2.5_7b,baseline,1,380,380,0,116,138,126,0,380,188,192,264,129,135,137,5,132,0.6736842105263158,0.6736842105263158,0.6736842105263158,1.0,0.0,,0.30526315789473685,0.30526315789473685,0.3631578947368421,0.33157894736842103,0.0,0.6595744680851063,0.6875,0.027925531914893664,0.48863636363636365,0.5113636363636364,0.0364963503649635,0.9635036496350365,-0.022727272727272707
qwen2.5_7b,baseline,2,380,380,0,116,138,126,0,380,188,192,264,129,135,137,5,132,0.6736842105263158,0.6736842105263158,0.6736842105263158,1.0,0.0,,0.30526315789473685,0.30526315789473685,0.3631578947368421,0.33157894736842103,0.0,0.6595744680851063,0.6875,0.027925531914893664,0.48863636363636365,0.5113636363636364,0.0364963503649635,0.9635036496350365,-0.022727272727272707
qwen2.5_7b,chain_of_thought,0,380,335,45,32,158,145,0,380,188,192,303,152,151,155,9,146,0.7605263157894737,0.8626865671641791,0.7605263157894737,0.881578947368421,0.11842105263157894,,0.08421052631578947,0.0955223880597015,0.41578947368421054,0.3815789473684211,0.0,0.7606382978723404,0.7604166666666666,-0.00022163120567375572,0.5016501650165016,0.49834983498349833,0.05806451612903226,0.9419354838709677,0.0033003300330032292
qwen2.5_7b,chain_of_thought,1,380,335,45,32,158,145,0,380,188,192,303,152,151,155,9,146,0.7605263157894737,0.8626865671641791,0.7605263157894737,0.881578947368421,0.11842105263157894,,0.08421052631578947,0.0955223880597015,0.41578947368421054,0.3815789473684211,0.0,0.7606382978723404,0.7604166666666666,-0.00022163120567375572,0.5016501650165016,0.49834983498349833,0.05806451612903226,0.9419354838709677,0.0033003300330032292
qwen2.5_7b,chain_of_thought,2,380,335,45,32,158,145,0,380,188,192,303,152,151,155,9,146,0.7605263157894737,0.8626865671641791,0.7605263157894737,0.881578947368421,0.11842105263157894,,0.08421052631578947,0.0955223880597015,0.41578947368421054,0.3815789473684211,0.0,0.7606382978723404,0.7604166666666666,-0.00022163120567375572,0.5016501650165016,0.49834983498349833,0.05806451612903226,0.9419354838709677,0.0033003300330032292
qwen2.5_7b,role_based,0,380,380,0,102,146,132,0,380,188,192,278,137,141,143,4,139,0.7157894736842105,0.7157894736842105,0.7157894736842105,1.0,0.0,,0.26842105263157895,0.26842105263157895,0.38421052631578945,0.3473684210526316,0.0,0.7074468085106383,0.7239583333333334,0.016511524822695023,0.49280575539568344,0.5071942446043165,0.027972027972027972,0.972027972027972,-0.014388489208633115
qwen2.5_7b,role_based,1,380,380,0,102,146,132,0,380,188,192,278,137,141,143,4,139,0.7157894736842105,0.7157894736842105,0.7157894736842105,1.0,0.0,,0.26842105263157895,0.26842105263157895,0.38421052631578945,0.3473684210526316,0.0,0.7074468085106383,0.7239583333333334,0.016511524822695023,0.49280575539568344,0.5071942446043165,0.027972027972027972,0.972027972027972,-0.014388489208633115
qwen2.5_7b,role_based,2,380,380,0,102,146,132,0,380,188,192,278,137,141,143,4,139,0.7157894736842105,0.7157894736842105,0.7157894736842105,1.0,0.0,,0.26842105263157895,0.26842105263157895,0.38421052631578945,0.3473684210526316,0.0,0.7074468085106383,0.7239583333333334,0.016511524822695023,0.49280575539568344,0.5071942446043165,0.027972027972027972,0.972027972027972,-0.014388489208633115
